Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Supression of HMGB1 mediated inflammation by THBD	1	9	10	11.11%	3.04	0.056
Myometrial relaxation and contraction pathways	5	142	161	3.52%	3.02	0.008
Host-pathogen interaction of human coronaviruses - interferon induction	2	33	47	6.06%	2.91	0.023
Nucleotide-binding oligomerization domain (NOD) pathway	2	33	43	6.06%	2.91	0.026
2q37 copy number variation syndrome	4	105	264	3.81%	2.89	0.025
Aspirin and miRNAs	1	10	24	10.00%	2.85	0.010
Serotonin transporter activity	1	10	15	10.00%	2.85	0.073
Sudden infant death syndrome (SIDS) susceptibility pathways	5	155	182	3.23%	2.78	0.023
NAD metabolism, sirtuins and aging	1	11	16	9.09%	2.68	0.077
Nanoparticle triggered regulated necrosis	1	11	26	9.09%	2.68	0.016
Photodynamic therapy-induced HIF-1 survival signaling	2	37	38	5.41%	2.68	0.021
Hair follicle development: cytodifferentiation - part 3 of 3	3	73	93	4.11%	2.66	0.007
ATM signaling pathway	2	38	50	5.26%	2.63	0.026
PDGF pathway	2	39	53	5.13%	2.58	0.036
Estrogen receptor pathway	1	12	16	8.33%	2.54	0.075
IL-10 anti-inflammatory signaling pathway 	1	12	19	8.33%	2.54	0.072
MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	1	12	13	8.33%	2.54	0.085
Fas ligand pathway and stress induction of heat shock proteins	2	42	48	4.76%	2.44	0.027
Control of immune tolerance by vasoactive intestinal peptide	1	13	16	7.69%	2.41	0.087
Genes targeted by miRNAs in adipocytes	1	13	19	7.69%	2.41	0.075
MFAP5-mediated ovarian cancer cell motility and invasiveness	1	13	18	7.69%	2.41	0.082
NAD+ metabolism	1	13	34	7.69%	2.41	0.015
Apoptosis	3	83	88	3.61%	2.39	0.020
Acute viral myocarditis	3	85	110	3.53%	2.34	0.021
Apoptosis modulation and signaling	3	85	99	3.53%	2.34	0.019
Neuroinflammation and glutamatergic signaling	4	133	178	3.01%	2.32	0.015
Aryl hydrocarbon receptor pathway	2	45	57	4.44%	2.31	0.044
Mammary gland development pathway - Embryonic development (Stage 1 of 4)	1	14	21	7.14%	2.30	0.082
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	1	14	19	7.14%	2.30	0.096
Pro-survival signaling of neuroprotectin D1	1	14	22	7.14%	2.30	0.078
2q13 copy number variation syndrome	2	46	99	4.35%	2.27	0.020
Copper homeostasis	2	46	58	4.35%	2.27	0.029
Netrin-UNC5B signaling pathway	2	46	53	4.35%	2.27	0.040
Thymic stromal lymphopoietin (TSLP) signaling pathway	2	46	49	4.35%	2.27	0.024
Corticotropin-releasing hormone signaling pathway	3	90	98	3.33%	2.22	0.027
MAPK pathway in congenital thyroid cancer	1	15	19	6.67%	2.20	0.102
MYD88 distinct input-output pathway	1	15	20	6.67%	2.20	0.089
Nonalcoholic fatty liver disease	4	141	170	2.84%	2.19	0.042
FOXP3 in COVID-19	1	16	19	6.25%	2.10	0.096
Lipid metabolism in senescent cells	1	16	25	6.25%	2.10	0.081
Apoptosis-related network due to altered Notch3 in ovarian cancer	2	52	54	3.85%	2.05	0.042
RANKL/RANK signaling pathway	2	55	58	3.64%	1.96	0.035
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	1	18	20	5.56%	1.93	0.104
Modulators of TCR signaling and T cell activation	2	58	66	3.45%	1.87	0.059
BMP signaling in eyelid development	1	19	23	5.26%	1.86	0.136
Extracellular vesicles in the crosstalk of cardiac cells	1	19	30	5.26%	1.86	0.133
NAD+ biosynthetic pathways	1	19	37	5.26%	1.86	0.061
Regulation of apoptosis by parathyroid hormone-related protein	1	19	24	5.26%	1.86	0.122
Serotonin receptor 4/6/7 and NR3C signaling	1	19	22	5.26%	1.86	0.133
Type II diabetes mellitus	1	19	28	5.26%	1.86	0.135
Hippo-Yap signaling pathway	1	20	24	5.00%	1.79	0.128
Oncostatin M signaling pathway	2	63	66	3.17%	1.73	0.053
Galanin receptor pathway	1	21	22	4.76%	1.72	0.133
Host-pathogen interaction of human coronaviruses - apoptosis	1	21	34	4.76%	1.72	0.126
Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex	1	21	34	4.76%	1.72	0.149
Roles of ceramides in the development of insulin resistance	1	21	35	4.76%	1.72	0.127
Thyroid stimulating hormone (TSH) signaling pathway	2	64	67	3.13%	1.70	0.054
AGE/RAGE pathway	2	65	67	3.08%	1.67	0.051
Blood clotting cascade	1	22	27	4.55%	1.66	0.134
Dravet syndrome	1	22	31	4.55%	1.66	0.152
Eicosanoid synthesis	1	22	56	4.55%	1.66	0.042
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	1	22	24	4.55%	1.66	0.121
Circadian rhythm genes	4	181	209	2.21%	1.63	0.085
Estrogen signaling pathway	1	23	26	4.35%	1.61	0.142
Physiological and pathological hypertrophy of the heart	1	23	27	4.35%	1.61	0.131
Chromosomal and microsatellite instability in colorectal cancer 	2	70	81	2.86%	1.55	0.070
VEGFA-VEGFR2 signaling pathway	7	396	436	1.77%	1.54	0.155
Adipogenesis	3	127	132	2.36%	1.54	0.075
TGF-beta signaling pathway	3	129	133	2.33%	1.51	0.101
Malignant pleural mesothelioma	7	403	467	1.74%	1.49	0.161
Prolactin signaling pathway	2	75	79	2.67%	1.44	0.077
T cell receptor and co-stimulatory signaling	1	27	45	3.70%	1.40	0.179
Dopaminergic neurogenesis	1	28	32	3.57%	1.36	0.167
Interactions between immune cells and microRNAs in tumor microenvironment	1	28	52	3.57%	1.36	0.101
Brain-derived neurotrophic factor (BDNF) signaling pathway	3	140	150	2.14%	1.35	0.120
Eicosanoid metabolism via cyclooxygenases (COX)	1	29	72	3.45%	1.32	0.058
Initiation of transcription and translation elongation at the HIV-1 LTR	1	29	35	3.45%	1.32	0.157
lncRNA in canonical Wnt signaling and colorectal cancer	2	82	102	2.44%	1.30	0.107
2q11.2 copy number variation syndrome	1	30	88	3.33%	1.28	0.061
Cell migration and invasion through p75NTR	1	30	31	3.33%	1.28	0.159
Matrix metalloproteinases	1	30	31	3.33%	1.28	0.148
Overview of interferons-mediated signaling pathway	1	30	38	3.33%	1.28	0.198
Hepatitis B infection	3	146	155	2.05%	1.28	0.126
Ovarian infertility	1	31	33	3.23%	1.24	0.156
Prostaglandin and leukotriene metabolism in senescence 	1	31	57	3.23%	1.24	0.147
ErbB signaling pathway	2	87	101	2.30%	1.21	0.119
Inflammatory response pathway	1	32	34	3.13%	1.20	0.178
MAPK cascade	1	33	37	3.03%	1.16	0.192
Hepatocyte growth factor receptor signaling	1	34	35	2.94%	1.13	0.184
B cell receptor signaling pathway	2	94	99	2.13%	1.09	0.102
Small cell lung cancer	2	94	104	2.13%	1.09	0.098
Amyotrophic lateral sclerosis (ALS)	1	36	56	2.78%	1.06	0.234
CCL18 signaling pathway	1	36	177	2.78%	1.06	0.177
Host-pathogen interaction of human coronaviruses - MAPK signaling	1	36	43	2.78%	1.06	0.190
Neural crest cell migration during development	1	36	40	2.78%	1.06	0.196
Endoplasmic reticulum stress response in coronavirus infection	1	37	57	2.70%	1.03	0.273
Nuclear receptors	1	38	44	2.63%	1.00	0.224
IL-5 signaling pathway	1	39	41	2.56%	0.97	0.190
Neural crest cell migration in cancer	1	39	43	2.56%	0.97	0.214
Oxidative damage response	1	39	44	2.56%	0.97	0.236
Oxysterols derived from cholesterol	1	39	112	2.56%	0.97	0.123
Complement system	2	103	143	1.94%	0.95	0.182
Alzheimer's disease	4	250	288	1.60%	0.95	0.411
Alzheimer's disease and miRNA effects	4	252	358	1.59%	0.93	0.272
IL-2 signaling pathway	1	42	43	2.38%	0.89	0.187
IL6 signaling pathway	1	43	45	2.33%	0.87	0.213
Prostaglandin synthesis and regulation	1	43	61	2.33%	0.87	0.301
Rett syndrome causing genes	1	43	54	2.33%	0.87	0.272
3q29 copy number variation syndrome	1	44	115	2.27%	0.84	0.156
Pluripotent stem cell differentiation pathway	1	45	64	2.22%	0.82	0.292
Interleukin-1 (IL-1) structural pathway	1	46	52	2.17%	0.79	0.229
IL-3 signaling pathway	1	48	50	2.08%	0.75	0.222
Cardiac hypertrophic response	1	52	61	1.92%	0.66	0.281
IL-4 signaling pathway	1	54	55	1.85%	0.62	0.288
AMP-activated protein kinase signaling	1	59	78	1.69%	0.53	0.999
Proteasome degradation	1	60	67	1.67%	0.51	0.996
GPCRs, class A rhodopsin-like	3	226	272	1.33%	0.49	0.492
MAPK signaling pathway	3	229	258	1.31%	0.46	0.564
Physico-chemical features and toxicity-associated pathways	1	64	78	1.56%	0.45	0.999
GPCRs, other	1	66	114	1.52%	0.41	0.931
RAC1/PAK1/p38/MMP2 pathway	1	67	74	1.49%	0.40	0.999
EGF/EGFR signaling pathway	2	155	163	1.29%	0.35	0.602
Insulin signaling	2	159	162	1.26%	0.32	0.631
Clock-controlled autophagy in bone metabolism	1	74	83	1.35%	0.30	0.999
Leptin signaling pathway	1	75	77	1.33%	0.28	0.999
ncRNAs involved in Wnt signaling in hepatocellular carcinoma	1	76	96	1.32%	0.27	0.999
Clear cell renal cell carcinoma pathways	1	78	92	1.28%	0.24	0.999
p53 transcriptional gene network	1	79	103	1.27%	0.23	0.999
MicroRNAs in cardiomyocyte hypertrophy	1	82	109	1.22%	0.19	0.999
Androgen receptor signaling pathway	1	84	90	1.19%	0.17	0.999
EGFR tyrosine kinase inhibitor resistance	1	84	92	1.19%	0.17	0.999
Wnt signaling pathway and pluripotency	1	91	106	1.10%	0.09	0.999
Complement system in neuronal development and plasticity	1	99	137	1.01%	0.00	0.999
Wnt signaling	1	100	121	1.00%	-0.01	0.999
Embryonic stem cell pluripotency pathways	1	107	123	0.93%	-0.08	0.999
Hippo-Merlin signaling dysregulation	1	107	121	0.93%	-0.08	0.999
Acrylamide biotransformation and exposure biomarkers	0	1	10	0.00%	-0.10	0.993
Amino acid conjugation of benzoic acid	0	1	15	0.00%	-0.10	0.999
Colchicine metabolic pathway	0	1	5	0.00%	-0.10	0.865
Direct reversal repair	0	1	4	0.00%	-0.10	0.745
Evolocumab mechanism to reduce LDL cholesterol	0	1	5	0.00%	-0.10	0.870
FABP4 in ovarian cancer	0	1	3	0.00%	-0.10	0.543
Flavan-3-ol metabolic pathway	0	1	69	0.00%	-0.10	0.999
Glucose homeostasis	0	1	24	0.00%	-0.10	0.999
Influenza A virus infection	0	1	16	0.00%	-0.10	0.999
Metabolism of dichloroethylene by CYP450	0	1	13	0.00%	-0.10	0.999
miRNA degrading enzymes	0	1	4	0.00%	-0.10	0.750
PCSK9-mediated LDL receptor degradation	0	1	3	0.00%	-0.10	0.566
DNA damage response (only ATM dependent)	1	110	118	0.91%	-0.10	0.999
Aripiprazole metabolic pathway	0	2	7	0.00%	-0.14	0.825
Butyrate-induced histone acetylation	0	2	11	0.00%	-0.14	0.977
Felbamate metabolism	0	2	12	0.00%	-0.14	0.988
HIPK2 in kidney fibrosis	0	2	8	0.00%	-0.14	0.898
Hormonal control of pubertal growth spurt	0	2	8	0.00%	-0.14	0.908
Hypoxia-mediated EMT and stemness	0	2	6	0.00%	-0.14	0.697
Lidocaine metabolism	0	2	11	0.00%	-0.14	0.982
Mevalonate arm of cholesterol biosynthesis pathway with inhibitors	0	2	64	0.00%	-0.14	0.999
Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors	0	2	6	0.00%	-0.14	0.710
Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer	0	2	6	0.00%	-0.14	0.749
Male infertility	1	116	150	0.86%	-0.16	0.885
ALA oxylipin metabolism	0	3	17	0.00%	-0.17	0.996
Amino acid metabolism pathway excerpt: histidine catabolism extension	0	3	23	0.00%	-0.17	0.999
eIF5A regulation in response to inhibition of the nuclear export system	0	3	6	0.00%	-0.17	0.448
Ethylmalonic encephalopathy	0	3	20	0.00%	-0.17	0.999
GDNF signaling	0	3	168	0.00%	-0.17	0.676
Glycine metabolism	0	3	19	0.00%	-0.17	0.999
Heroin metabolism	0	3	8	0.00%	-0.17	0.720
Linoleic acid oxylipin metabolism	0	3	18	0.00%	-0.17	0.999
Metabolism of tetrahydrocannabinol (THC)	0	3	11	0.00%	-0.17	0.930
Vitamins A and D - action mechanisms	0	3	14	0.00%	-0.17	0.989
NRF2 pathway	1	118	145	0.85%	-0.18	0.938
Caffeine and theobromine metabolism	0	4	18	0.00%	-0.20	0.991
Copper metabolism	0	4	7	0.00%	-0.20	0.310
Diclofenac metabolic pathway	0	4	12	0.00%	-0.20	0.890
Downregulation of ACE2 by SARS-CoV-2 spike protein	0	4	8	0.00%	-0.20	0.465
exRNA mechanism of action and biogenesis	0	4	8	0.00%	-0.20	0.469
mir-124 predicted interactions with cell cycle and differentiation 	0	4	8	0.00%	-0.20	0.447
miR-222 in exercise-induced cardiac growth	0	4	6	0.00%	-0.20	0.186
Neurotransmitter disorders	0	4	27	0.00%	-0.20	0.999
Nicotine effect on chromaffin cells	0	4	10	0.00%	-0.20	0.726
Oxytocin signaling	0	4	10	0.00%	-0.20	0.700
Peroxisomal beta-oxidation of tetracosanoyl-CoA	0	4	17	0.00%	-0.20	0.986
Polyol pathway	0	4	17	0.00%	-0.20	0.981
Secretion of hydrochloric acid in parietal cells	0	4	15	0.00%	-0.20	0.973
Serotonin receptor 2 and STAT3 signaling	0	4	6	0.00%	-0.20	0.197
Soluble ACE2-mediated cell entry of SARS-CoV-2	0	4	7	0.00%	-0.20	0.309
Sulindac metabolic pathway	0	4	11	0.00%	-0.20	0.812
Benzene metabolism	0	5	17	0.00%	-0.23	0.966
Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs)	0	5	14	0.00%	-0.23	0.858
Conversion of angiotensinogen to angiotensin II 	0	5	9	0.00%	-0.23	0.382
Creatine pathway	0	5	33	0.00%	-0.23	0.999
Disorders in ketolysis	0	5	21	0.00%	-0.23	0.998
Disorders in ketone body synthesis	0	5	32	0.00%	-0.23	0.999
Fluoroacetic acid toxicity	0	5	16	0.00%	-0.23	0.945
GABA metabolism (aka GHB)	0	5	42	0.00%	-0.23	0.999
Hijack of ubiquitination by SARS-CoV-2	0	5	12	0.00%	-0.23	0.754
Lamin A-processing pathway	0	5	8	0.00%	-0.23	0.222
MicroRNA network associated with chronic lymphocytic leukemia	0	5	10	0.00%	-0.23	0.512
miR-517 relationship with ARCN1 and USP1	0	5	7	0.00%	-0.23	0.115
miRNA biogenesis	0	5	7	0.00%	-0.23	0.121
Mitochondrial complex II assembly	0	5	10	0.00%	-0.23	0.488
Mitochondrial fatty acid synthesis pathway	0	5	21	0.00%	-0.23	0.993
SARS-CoV-2 altering angiogenesis via NRP1	0	5	11	0.00%	-0.23	0.630
SARS-CoV-2 replication organelle formation	0	5	10	0.00%	-0.23	0.484
Somitogenesis in the context of spondylocostal dysostosis	0	5	10	0.00%	-0.23	0.497
TCA cycle nutrient use and invasiveness of ovarian cancer	0	5	11	0.00%	-0.23	0.620
Vitamin B6-dependent and responsive disorders	0	5	29	0.00%	-0.23	0.999
Cellular proteostasis	0	6	15	0.00%	-0.25	0.795
Cerebral organic acidurias, including diseases	0	6	46	0.00%	-0.25	0.999
DDX1 as a regulatory component of the Drosha microprocessor	0	6	8	0.00%	-0.25	0.102
Dual hijack model of Vif in HIV infection	0	6	10	0.00%	-0.25	0.299
Estradiol regulation in Porto-Sinusoidal Vascular Disease	0	6	15	0.00%	-0.25	0.832
Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	0	6	26	0.00%	-0.25	0.999
Hfe effect on hepcidin production	0	6	8	0.00%	-0.25	0.098
Linoleic acid metabolism affected by SARS-CoV-2	0	6	34	0.00%	-0.25	0.998
MED and pseudoachondroplasia genes	0	6	7	0.00%	-0.25	0.041
Metastatic brain tumor	0	6	28	0.00%	-0.25	0.998
Mitochondrial beta oxidation	0	6	159	0.00%	-0.25	0.683
NAD biosynthesis II (from tryptophan)	0	6	34	0.00%	-0.25	0.999
Nicotine metabolism in liver cells	0	6	18	0.00%	-0.25	0.939
NIPBL role in DNA damage - Cornelia de Lange syndrome	0	6	9	0.00%	-0.25	0.194
Pilocytic astrocytoma	0	6	14	0.00%	-0.25	0.722
Robo4 and VEGF signaling pathways crosstalk	0	6	7	0.00%	-0.25	0.049
Somatroph axis (GH) and its relationship to dietary restriction and aging	0	6	12	0.00%	-0.25	0.523
Type III interferon signaling	0	6	11	0.00%	-0.25	0.399
Tyrosine metabolism and related disorders	0	6	41	0.00%	-0.25	0.999
15q11.2 copy number variation syndrome	0	7	13	0.00%	-0.27	0.455
Acetylcholine synthesis	0	7	18	0.00%	-0.27	0.857
Aflatoxin B1 metabolism	0	7	16	0.00%	-0.27	0.723
Amino acid metabolism in triple-negative breast cancer cells	0	7	30	0.00%	-0.27	0.997
Arachidonate epoxygenase / epoxide hydrolase	0	7	18	0.00%	-0.27	0.856
Arylamine metabolism	0	7	13	0.00%	-0.27	0.454
Biosynthesis and turnover of 1-deoxy-sphingoid bases	0	7	32	0.00%	-0.27	0.999
Cholesterol biosynthesis with skeletal dysplasias	0	7	23	0.00%	-0.27	0.980
Effects of nitric oxide	0	7	16	0.00%	-0.27	0.733
FTO obesity variant mechanism	0	7	11	0.00%	-0.27	0.204
Gene regulatory network modelling somitogenesis 	0	7	13	0.00%	-0.27	0.424
Glial cell differentiation	0	7	9	0.00%	-0.27	0.092
HIF1A and PPARG regulation of glycolysis	0	7	19	0.00%	-0.27	0.896
Hypothetical craniofacial development pathway	0	7	11	0.00%	-0.27	0.188
Kinin-Kallikrein pathway	0	7	10	0.00%	-0.27	0.122
Krebs cycle disorders	0	7	34	0.00%	-0.27	0.999
LDLRAD4 and what we know about it	0	7	12	0.00%	-0.27	0.310
lncRNA-mediated mechanisms of therapeutic resistance	0	7	14	0.00%	-0.27	0.558
MicroRNA for targeting cancer growth and vascularization in glioblastoma	0	7	10	0.00%	-0.27	0.143
Molybdenum cofactor (Moco) biosynthesis	0	7	21	0.00%	-0.27	0.958
mRNA, protein, and metabolite inducation pathway by cyclosporin A	0	7	23	0.00%	-0.27	0.985
Pentose phosphate metabolism	0	7	21	0.00%	-0.27	0.954
Phase I biotransformations, non P450	0	7	13	0.00%	-0.27	0.428
SARS-CoV-2 and ACE2 receptor: molecular mechanisms	0	7	14	0.00%	-0.27	0.544
ApoE and miR-146 in inflammation and atherosclerosis	0	8	13	0.00%	-0.29	0.248
ATR signaling	0	8	10	0.00%	-0.29	0.080
Effect of intestinal microbiome on anticoagulant response of Vitamin K antagonists	0	8	27	0.00%	-0.29	0.992
Glucose metabolism in triple-negative breast cancer cells	0	8	22	0.00%	-0.29	0.926
Insulin signaling in adipocytes (diabetic condition)	0	8	12	0.00%	-0.29	0.160
Insulin signaling in adipocytes (normal condition)	0	8	15	0.00%	-0.29	0.463
Interleukin-1 induced activation of NF-kB	0	8	13	0.00%	-0.29	0.259
Ketogenesis and ketolysis	0	8	27	0.00%	-0.29	0.982
Methylation pathways	0	8	15	0.00%	-0.29	0.448
Nod-like receptor (NLR) signaling pathway	0	8	11	0.00%	-0.29	0.114
Non-classical role of vitamin D	0	8	23	0.00%	-0.29	0.954
Peroxiredoxin 2 induced ovarian failure	0	8	13	0.00%	-0.29	0.247
SARS-CoV-2 B.1.1.7 variant antagonises innate immune activation	0	8	15	0.00%	-0.29	0.478
Serine metabolism	0	8	43	0.00%	-0.29	0.999
Tgif disruption of Shh signaling	0	8	10	0.00%	-0.29	0.068
Thiamine metabolic pathways	0	8	34	0.00%	-0.29	0.999
Arsenic metabolism and reactive oxygen species generation	0	9	28	0.00%	-0.30	0.984
Benzo(a)pyrene metabolism	0	9	17	0.00%	-0.30	0.461
Biotin metabolism, including IMDs	0	9	38	0.00%	-0.30	0.999
Eicosanoid metabolism via cytochrome P450 monooxygenases pathway	0	9	23	0.00%	-0.30	0.894
Ethanol metabolism production of ROS by CYP2E1	0	9	28	0.00%	-0.30	0.985
Folate-alcohol and cancer pathway hypotheses	0	9	24	0.00%	-0.30	0.911
Hemesynthesis defects and porphyrias	0	9	37	0.00%	-0.30	0.999
Heme biosynthesis	0	9	28	0.00%	-0.30	0.981
Liver X receptor pathway	0	9	12	0.00%	-0.30	0.096
Pentose phosphate pathway in senescent cells	0	9	34	0.00%	-0.30	0.997
PTF1A related regulatory pathway	0	9	12	0.00%	-0.30	0.096
SARS-CoV-2 and COVID-19 pathway	0	9	71	0.00%	-0.30	0.999
SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome	0	9	12	0.00%	-0.30	0.109
SRF and miRs in smooth muscle differentiation and proliferation	0	9	18	0.00%	-0.30	0.557
TCA cycle in senescence	0	9	30	0.00%	-0.30	0.997
Transcription factors regulate miRNAs related to cardiac hypertrophy	0	9	16	0.00%	-0.30	0.393
Acquired partial lipodystrophy / Barraquer-Simons syndrome	0	10	17	0.00%	-0.32	0.308
Bile acids synthesis and enterohepatic circulation 	0	10	18	0.00%	-0.32	0.405
Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine	0	10	59	0.00%	-0.32	0.999
COVID-19, thrombosis and anticoagulation	0	10	27	0.00%	-0.32	0.933
Deregulation of Rab and Rab effector genes in bladder cancer	0	10	17	0.00%	-0.32	0.309
FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	0	10	36	0.00%	-0.32	0.998
Gastric acid production	0	10	24	0.00%	-0.32	0.864
Glyoxylate metabolism	0	10	46	0.00%	-0.32	0.999
Hedgehog signaling pathway	0	10	17	0.00%	-0.32	0.310
Iron metabolism in placenta	0	10	15	0.00%	-0.32	0.175
Leptin and adiponectin	0	10	14	0.00%	-0.32	0.113
Lipid particles composition	0	10	21	0.00%	-0.32	0.669
Mammary gland development pathway - Involution (Stage 4 of 4)	0	10	13	0.00%	-0.32	0.099
