Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Novel intracellular components of RIG-I-like receptor pathway	1	55	64	1.82%	0.69	0.275
RANKL/RANK signaling pathway	1	55	58	1.82%	0.69	0.250
Malignant pleural mesothelioma	5	403	467	1.24%	0.66	0.541
Complement and coagulation cascades	1	57	63	1.75%	0.65	0.264
Modulators of TCR signaling and T cell activation	1	58	66	1.72%	0.63	0.328
AMP-activated protein kinase signaling	1	59	78	1.69%	0.61	0.742
T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	1	60	70	1.67%	0.60	0.663
Breast cancer pathway	2	143	167	1.40%	0.59	0.615
DNA damage response	1	62	78	1.61%	0.56	0.975
G1 to S cell cycle control	1	64	68	1.56%	0.53	0.971
Physico-chemical features and toxicity-associated pathways	1	64	78	1.56%	0.53	0.998
Thyroid stimulating hormone (TSH) signaling pathway	1	64	67	1.56%	0.53	0.967
Chemokine signaling pathway	2	152	172	1.32%	0.50	0.659
Cytosolic DNA-sensing pathway	1	66	77	1.52%	0.50	0.999
Folate metabolism	1	66	142	1.52%	0.50	0.664
GPCRs, other	1	66	114	1.52%	0.50	0.912
miRNA regulation of DNA damage response	1	66	106	1.52%	0.50	0.973
EGF/EGFR signaling pathway	2	155	163	1.29%	0.47	0.652
Sudden infant death syndrome (SIDS) susceptibility pathways	2	155	182	1.29%	0.47	0.611
Head and neck squamous cell carcinoma	1	68	81	1.47%	0.47	0.999
Non-small cell lung cancer	1	70	88	1.43%	0.44	0.999
Primary focal segmental glomerulosclerosis (FSGS)	1	70	77	1.43%	0.44	0.999
Regulatory circuits of the STAT3 signaling pathway	1	71	79	1.41%	0.42	0.999
Non-genomic actions of 1,25 dihydroxyvitamin D3	1	72	100	1.39%	0.41	0.999
Leptin signaling pathway	1	75	77	1.33%	0.37	0.999
Prolactin signaling pathway	1	75	79	1.33%	0.37	0.999
p53 transcriptional gene network	1	79	103	1.27%	0.31	0.999
Glioblastoma signaling pathways	1	82	88	1.22%	0.27	0.999
lncRNA in canonical Wnt signaling and colorectal cancer	1	82	102	1.22%	0.27	0.999
Androgen receptor signaling pathway	1	84	90	1.19%	0.25	0.999
Retinoblastoma gene in cancer	1	84	98	1.19%	0.25	0.999
Circadian rhythm genes	2	181	209	1.10%	0.25	0.609
Acute viral myocarditis	1	85	110	1.18%	0.24	0.999
Focal adhesion: PI3K-Akt-mTOR-signaling pathway	3	282	305	1.06%	0.24	0.997
Pancreatic adenocarcinoma pathway	1	86	97	1.16%	0.23	0.999
TNF-alpha signaling pathway	1	87	97	1.15%	0.21	0.999
Complement system in neuronal development and plasticity	1	99	137	1.01%	0.08	0.999
2q37 copy number variation syndrome	1	105	264	0.95%	0.02	0.999
DNA damage response (only ATM dependent)	1	110	118	0.91%	-0.02	0.999
Cell cycle	1	112	124	0.89%	-0.04	0.999
GPCRs, class A rhodopsin-like	2	226	272	0.88%	-0.07	0.999
Acrylamide biotransformation and exposure biomarkers	0	1	10	0.00%	-0.10	0.995
Amino acid conjugation of benzoic acid	0	1	15	0.00%	-0.10	0.999
Colchicine metabolic pathway	0	1	5	0.00%	-0.10	0.863
Direct reversal repair	0	1	4	0.00%	-0.10	0.741
Evolocumab mechanism to reduce LDL cholesterol	0	1	5	0.00%	-0.10	0.843
FABP4 in ovarian cancer	0	1	3	0.00%	-0.10	0.568
Flavan-3-ol metabolic pathway	0	1	69	0.00%	-0.10	0.999
Glucose homeostasis	0	1	24	0.00%	-0.10	0.999
Influenza A virus infection	0	1	16	0.00%	-0.10	0.999
Metabolism of dichloroethylene by CYP450	0	1	13	0.00%	-0.10	0.999
miRNA degrading enzymes	0	1	4	0.00%	-0.10	0.751
PCSK9-mediated LDL receptor degradation	0	1	3	0.00%	-0.10	0.533
Endoderm differentiation	1	121	147	0.83%	-0.12	0.998
Aripiprazole metabolic pathway	0	2	7	0.00%	-0.14	0.840
Butyrate-induced histone acetylation	0	2	11	0.00%	-0.14	0.984
Felbamate metabolism	0	2	12	0.00%	-0.14	0.984
HIPK2 in kidney fibrosis	0	2	8	0.00%	-0.14	0.899
Hormonal control of pubertal growth spurt	0	2	8	0.00%	-0.14	0.900
Hypoxia-mediated EMT and stemness	0	2	6	0.00%	-0.14	0.724
Lidocaine metabolism	0	2	11	0.00%	-0.14	0.978
Mevalonate arm of cholesterol biosynthesis pathway with inhibitors	0	2	64	0.00%	-0.14	0.999
Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors	0	2	6	0.00%	-0.14	0.732
Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer	0	2	6	0.00%	-0.14	0.734
ALA oxylipin metabolism	0	3	17	0.00%	-0.17	0.996
Amino acid metabolism pathway excerpt: histidine catabolism extension	0	3	23	0.00%	-0.17	0.998
eIF5A regulation in response to inhibition of the nuclear export system	0	3	6	0.00%	-0.17	0.437
Ethylmalonic encephalopathy	0	3	20	0.00%	-0.17	0.999
Glycine metabolism	0	3	19	0.00%	-0.17	0.999
Heroin metabolism	0	3	8	0.00%	-0.17	0.733
Linoleic acid oxylipin metabolism	0	3	18	0.00%	-0.17	0.998
Metabolism of tetrahydrocannabinol (THC)	0	3	11	0.00%	-0.17	0.929
Vitamins A and D - action mechanisms	0	3	14	0.00%	-0.17	0.985
Caffeine and theobromine metabolism	0	4	18	0.00%	-0.19	0.995
Copper metabolism	0	4	7	0.00%	-0.19	0.321
Diclofenac metabolic pathway	0	4	12	0.00%	-0.19	0.865
Downregulation of ACE2 by SARS-CoV-2 spike protein	0	4	8	0.00%	-0.19	0.452
exRNA mechanism of action and biogenesis	0	4	8	0.00%	-0.19	0.451
mir-124 predicted interactions with cell cycle and differentiation 	0	4	8	0.00%	-0.19	0.448
miR-222 in exercise-induced cardiac growth	0	4	6	0.00%	-0.19	0.180
Neurotransmitter disorders	0	4	27	0.00%	-0.19	0.999
Nicotine effect on chromaffin cells	0	4	10	0.00%	-0.19	0.744
Oxytocin signaling	0	4	10	0.00%	-0.19	0.725
Peroxisomal beta-oxidation of tetracosanoyl-CoA	0	4	17	0.00%	-0.19	0.987
Polyol pathway	0	4	17	0.00%	-0.19	0.990
Secretion of hydrochloric acid in parietal cells	0	4	15	0.00%	-0.19	0.973
Serotonin receptor 2 and STAT3 signaling	0	4	6	0.00%	-0.19	0.156
Soluble ACE2-mediated cell entry of SARS-CoV-2	0	4	7	0.00%	-0.19	0.312
Sulindac metabolic pathway	0	4	11	0.00%	-0.19	0.826
Alzheimer's disease	2	250	288	0.80%	-0.22	0.997
Benzene metabolism	0	5	17	0.00%	-0.22	0.957
Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs)	0	5	14	0.00%	-0.22	0.857
Conversion of angiotensinogen to angiotensin II 	0	5	9	0.00%	-0.22	0.351
Creatine pathway	0	5	33	0.00%	-0.22	0.999
Disorders in ketolysis	0	5	21	0.00%	-0.22	0.991
Disorders in ketone body synthesis	0	5	32	0.00%	-0.22	0.999
Fluoroacetic acid toxicity	0	5	16	0.00%	-0.22	0.941
GABA metabolism (aka GHB)	0	5	42	0.00%	-0.22	0.999
Hijack of ubiquitination by SARS-CoV-2	0	5	12	0.00%	-0.22	0.745
Lamin A-processing pathway	0	5	8	0.00%	-0.22	0.227
let-7 inhibition of ES cell reprogramming	0	5	17	0.00%	-0.22	0.965
MicroRNA network associated with chronic lymphocytic leukemia	0	5	10	0.00%	-0.22	0.495
miRNA biogenesis	0	5	7	0.00%	-0.22	0.114
Mitochondrial complex II assembly	0	5	10	0.00%	-0.22	0.493
Mitochondrial fatty acid synthesis pathway	0	5	21	0.00%	-0.22	0.994
SARS-CoV-2 altering angiogenesis via NRP1	0	5	11	0.00%	-0.22	0.607
SARS-CoV-2 replication organelle formation	0	5	10	0.00%	-0.22	0.489
Somitogenesis in the context of spondylocostal dysostosis	0	5	10	0.00%	-0.22	0.462
TCA cycle nutrient use and invasiveness of ovarian cancer	0	5	11	0.00%	-0.22	0.627
Vitamin B6-dependent and responsive disorders	0	5	29	0.00%	-0.22	0.999
Alzheimer's disease and miRNA effects	2	252	358	0.79%	-0.23	0.754
Cellular proteostasis	0	6	15	0.00%	-0.24	0.803
Cerebral organic acidurias, including diseases	0	6	46	0.00%	-0.24	0.999
DDX1 as a regulatory component of the Drosha microprocessor	0	6	8	0.00%	-0.24	0.091
Dual hijack model of Vif in HIV infection	0	6	10	0.00%	-0.24	0.260
Estradiol regulation in Porto-Sinusoidal Vascular Disease	0	6	15	0.00%	-0.24	0.823
Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	0	6	26	0.00%	-0.24	0.996
Linoleic acid metabolism affected by SARS-CoV-2	0	6	34	0.00%	-0.24	0.999
MED and pseudoachondroplasia genes	0	6	7	0.00%	-0.24	0.050
Metastatic brain tumor	0	6	28	0.00%	-0.24	0.999
Mitochondrial beta oxidation	0	6	159	0.00%	-0.24	0.803
NAD biosynthesis II (from tryptophan)	0	6	34	0.00%	-0.24	0.999
Nicotine metabolism in liver cells	0	6	18	0.00%	-0.24	0.941
NIPBL role in DNA damage - Cornelia de Lange syndrome	0	6	9	0.00%	-0.24	0.170
Pilocytic astrocytoma	0	6	14	0.00%	-0.24	0.745
Robo4 and VEGF signaling pathways crosstalk	0	6	7	0.00%	-0.24	0.058
Somatroph axis (GH) and its relationship to dietary restriction and aging	0	6	12	0.00%	-0.24	0.504
Type III interferon signaling	0	6	11	0.00%	-0.24	0.389
Tyrosine metabolism and related disorders	0	6	41	0.00%	-0.24	0.999
Calcium regulation in cardiac cells	1	136	167	0.74%	-0.24	0.702
15q11.2 copy number variation syndrome	0	7	13	0.00%	-0.26	0.421
Acetylcholine synthesis	0	7	18	0.00%	-0.26	0.843
Aflatoxin B1 metabolism	0	7	16	0.00%	-0.26	0.756
Amino acid metabolism in triple-negative breast cancer cells	0	7	30	0.00%	-0.26	0.996
Arachidonate epoxygenase / epoxide hydrolase	0	7	18	0.00%	-0.26	0.852
Arylamine metabolism	0	7	13	0.00%	-0.26	0.430
Biosynthesis and turnover of 1-deoxy-sphingoid bases	0	7	32	0.00%	-0.26	0.998
Cholesterol biosynthesis with skeletal dysplasias	0	7	23	0.00%	-0.26	0.980
Effects of nitric oxide	0	7	16	0.00%	-0.26	0.721
EV release from cardiac cells and their functional effects	0	7	17	0.00%	-0.26	0.793
FTO obesity variant mechanism	0	7	11	0.00%	-0.26	0.211
Gene regulatory network modelling somitogenesis 	0	7	13	0.00%	-0.26	0.400
Glial cell differentiation	0	7	9	0.00%	-0.26	0.076
HIF1A and PPARG regulation of glycolysis	0	7	19	0.00%	-0.26	0.904
Hypothetical craniofacial development pathway	0	7	11	0.00%	-0.26	0.215
Kinin-Kallikrein pathway	0	7	10	0.00%	-0.26	0.130
Krebs cycle disorders	0	7	34	0.00%	-0.26	0.999
LDLRAD4 and what we know about it	0	7	12	0.00%	-0.26	0.324
MicroRNA for targeting cancer growth and vascularization in glioblastoma	0	7	10	0.00%	-0.26	0.130
Molybdenum cofactor (Moco) biosynthesis	0	7	21	0.00%	-0.26	0.952
mRNA, protein, and metabolite inducation pathway by cyclosporin A	0	7	23	0.00%	-0.26	0.979
Pentose phosphate metabolism	0	7	21	0.00%	-0.26	0.954
Phase I biotransformations, non P450	0	7	13	0.00%	-0.26	0.422
SARS-CoV-2 and ACE2 receptor: molecular mechanisms	0	7	14	0.00%	-0.26	0.532
Brain-derived neurotrophic factor (BDNF) signaling pathway	1	140	150	0.71%	-0.27	0.876
ApoE and miR-146 in inflammation and atherosclerosis	0	8	13	0.00%	-0.27	0.239
ATR signaling	0	8	10	0.00%	-0.27	0.063
Canonical NF-kB pathway	0	8	9	0.00%	-0.27	0.045
Effect of intestinal microbiome on anticoagulant response of Vitamin K antagonists	0	8	27	0.00%	-0.27	0.990
Glucose metabolism in triple-negative breast cancer cells	0	8	22	0.00%	-0.27	0.936
Insulin signaling in adipocytes (diabetic condition)	0	8	12	0.00%	-0.27	0.167
Insulin signaling in adipocytes (normal condition)	0	8	15	0.00%	-0.27	0.453
Interleukin-1 induced activation of NF-kB	0	8	13	0.00%	-0.27	0.253
Ketogenesis and ketolysis	0	8	27	0.00%	-0.27	0.990
Methylation pathways	0	8	15	0.00%	-0.27	0.408
Nod-like receptor (NLR) signaling pathway	0	8	11	0.00%	-0.27	0.093
Non-classical role of vitamin D	0	8	23	0.00%	-0.27	0.942
Peroxiredoxin 2 induced ovarian failure	0	8	13	0.00%	-0.27	0.259
SARS-CoV-2 B.1.1.7 variant antagonises innate immune activation	0	8	15	0.00%	-0.27	0.473
Serine metabolism	0	8	43	0.00%	-0.27	0.999
Tgif disruption of Shh signaling	0	8	10	0.00%	-0.27	0.070
Thiamine metabolic pathways	0	8	34	0.00%	-0.27	0.999
Altered glycosylation of MUC1 in tumor microenvironment	0	9	10	0.00%	-0.29	0.042
Arsenic metabolism and reactive oxygen species generation	0	9	28	0.00%	-0.29	0.983
Benzo(a)pyrene metabolism	0	9	17	0.00%	-0.29	0.486
Biotin metabolism, including IMDs	0	9	38	0.00%	-0.29	0.998
Eicosanoid metabolism via cytochrome P450 monooxygenases pathway	0	9	23	0.00%	-0.29	0.882
Folate-alcohol and cancer pathway hypotheses	0	9	24	0.00%	-0.29	0.922
Hemesynthesis defects and porphyrias	0	9	37	0.00%	-0.29	0.999
Heme biosynthesis	0	9	28	0.00%	-0.29	0.987
Liver X receptor pathway	0	9	12	0.00%	-0.29	0.101
Pentose phosphate pathway in senescent cells	0	9	34	0.00%	-0.29	0.998
PTF1A related regulatory pathway	0	9	12	0.00%	-0.29	0.082
SARS-CoV-2 and COVID-19 pathway	0	9	71	0.00%	-0.29	0.999
SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome	0	9	12	0.00%	-0.29	0.092
SRF and miRs in smooth muscle differentiation and proliferation	0	9	18	0.00%	-0.29	0.560
Supression of HMGB1 mediated inflammation by THBD	0	9	10	0.00%	-0.29	0.041
TCA cycle in senescence	0	9	30	0.00%	-0.29	0.993
Transcription factors regulate miRNAs related to cardiac hypertrophy	0	9	16	0.00%	-0.29	0.360
Acquired partial lipodystrophy / Barraquer-Simons syndrome	0	10	17	0.00%	-0.31	0.285
Bile acids synthesis and enterohepatic circulation 	0	10	18	0.00%	-0.31	0.390
Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine	0	10	59	0.00%	-0.31	0.999
COVID-19, thrombosis and anticoagulation	0	10	27	0.00%	-0.31	0.926
Deregulation of Rab and Rab effector genes in bladder cancer	0	10	17	0.00%	-0.31	0.294
FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	0	10	36	0.00%	-0.31	0.998
Gastric acid production	0	10	24	0.00%	-0.31	0.851
Glyoxylate metabolism	0	10	46	0.00%	-0.31	0.999
Hedgehog signaling pathway	0	10	17	0.00%	-0.31	0.306
Iron metabolism in placenta	0	10	15	0.00%	-0.31	0.145
Leptin and adiponectin	0	10	14	0.00%	-0.31	0.111
Lipid particles composition	0	10	21	0.00%	-0.31	0.650
Mammary gland development pathway - Involution (Stage 4 of 4)	0	10	13	0.00%	-0.31	0.088
mRNA vaccine activation of dendritic cell and induction of IFN-1	0	10	13	0.00%	-0.31	0.106
Non-homologous end joining	0	10	11	0.00%	-0.31	0.055
PtdIns(4,5)P2 in cytokinesis pathway	0	10	18	0.00%	-0.31	0.408
Steroid biosynthesis	0	10	25	0.00%	-0.31	0.882
Trans-sulfuration pathway	0	10	25	0.00%	-0.31	0.925
Vitamin B12 disorders	0	10	36	0.00%	-0.31	0.996
Alanine and aspartate metabolism	0	11	66	0.00%	-0.32	0.999
Autosomal recessive osteopetrosis pathways	0	11	14	0.00%	-0.32	0.096
Biomarkers for urea cycle disorders	0	11	51	0.00%	-0.32	0.999
Bone morphogenic protein signaling and regulation	0	11	13	0.00%	-0.32	0.078
Inclusion body myositis	0	11	28	0.00%	-0.32	0.921
Methionine metabolism leading to sulfur amino acids and related disorders	0	11	46	0.00%	-0.32	0.999
Nanoparticle triggered regulated necrosis	0	11	26	0.00%	-0.32	0.868
Nucleotide GPCRs	0	11	15	0.00%	-0.32	0.110
RalA downstream regulated genes	0	11	13	0.00%	-0.32	0.069
Somatic sex determination	0	11	15	0.00%	-0.32	0.113
Vitamin D metabolism	0	11	22	0.00%	-0.32	0.602
Vitamin K metabolism and activation of dependent proteins	0	11	34	0.00%	-0.32	0.993
Aerobic glycolysis	0	12	35	0.00%	-0.34	0.986
Disorders of folate metabolism and transport	0	12	46	0.00%	-0.34	0.999
Disorders of fructose metabolism	0	12	47	0.00%	-0.34	0.999
EDA signaling in hair follicle development	0	12	15	0.00%	-0.34	0.091
Estrogen receptor pathway	0	12	16	0.00%	-0.34	0.087
Glycolysis in senescence	0	12	26	0.00%	-0.34	0.755
GPR40 pathway	0	12	20	0.00%	-0.34	0.281
