Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Measles virus infection	6	135	155	4.44%	4.50	0.001
Aryl hydrocarbon receptor pathway	3	41	49	7.32%	4.45	0.002
NO/cGMP/PKG mediated neuroprotection	3	42	65	7.14%	4.38	0.006
Extrafollicular B cell activation by SARS-CoV-2	4	70	77	5.71%	4.38	0.001
Selenium micronutrient network	4	72	198	5.56%	4.29	0.001
Metabolism of alpha-linolenic acid	1	6	27	16.67%	4.16	0.003
SCFA and skeletal muscle substrate metabolism	1	6	17	16.67%	4.16	0.002
LDL- influence on CD14 and TLR4	2	22	28	9.09%	4.15	0.007
SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction	2	22	49	9.09%	4.15	0.000
Transcription factor regulation in adipogenesis	2	22	24	9.09%	4.15	0.008
Interleukin-1 (IL-1) structural pathway	3	46	52	6.52%	4.13	0.002
Netrin-UNC5B signaling pathway	3	46	53	6.52%	4.13	0.000
Vitamin B12 metabolism	3	47	118	6.38%	4.08	0.001
Sudden infant death syndrome (SIDS) susceptibility pathways	6	155	182	3.87%	4.05	0.002
NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	2	23	46	8.70%	4.04	0.003
Unfolded protein response	2	24	28	8.33%	3.94	0.010
Apoptosis	4	83	88	4.82%	3.89	0.007
Activation of NLRP3 inflammasome by SARS-CoV-2	1	7	10	14.29%	3.82	0.038
EV release from cardiac cells and their functional effects	1	7	17	14.29%	3.82	0.005
Apoptosis modulation and signaling	4	85	99	4.71%	3.82	0.006
Apoptosis-related network due to altered Notch3 in ovarian cancer	3	52	54	5.77%	3.81	0.002
Canonical NF-kB pathway	1	8	9	12.50%	3.54	0.038
Interleukin-1 induced activation of NF-kB	1	8	13	12.50%	3.54	0.041
Monoamine transport	2	29	47	6.90%	3.50	0.024
Nonalcoholic fatty liver disease	5	141	170	3.55%	3.44	0.002
Myometrial relaxation and contraction pathways	5	142	161	3.52%	3.42	0.002
Ethanol metabolism production of ROS by CYP2E1	1	9	28	11.11%	3.31	0.008
Macrophage markers	1	9	10	11.11%	3.31	0.038
Supression of HMGB1 mediated inflammation by THBD	1	9	10	11.11%	3.31	0.042
2q37 copy number variation syndrome	4	105	264	3.81%	3.26	0.003
Cytosolic DNA-sensing pathway	3	66	77	4.55%	3.22	0.008
Folate metabolism	3	66	142	4.55%	3.22	0.004
Host-pathogen interaction of human coronaviruses - interferon induction	2	33	47	6.06%	3.21	0.023
Aspirin and miRNAs	1	10	24	10.00%	3.11	0.014
Serotonin transporter activity	1	10	15	10.00%	3.11	0.045
Trans-sulfuration pathway	1	10	25	10.00%	3.11	0.013
Nuclear receptors meta-pathway	7	269	339	2.60%	3.10	0.006
Gastrin signaling pathway	4	113	115	3.54%	3.07	0.014
Non-genomic actions of 1,25 dihydroxyvitamin D3	3	72	100	4.17%	3.02	0.011
Photodynamic therapy-induced HIF-1 survival signaling	2	37	38	5.41%	2.97	0.018
Methionine metabolism leading to sulfur amino acids and related disorders	1	11	46	9.09%	2.94	0.026
Nanoparticle triggered regulated necrosis	1	11	26	9.09%	2.94	0.015
ATM signaling pathway	2	38	50	5.26%	2.92	0.031
PDGF pathway	2	39	53	5.13%	2.87	0.029
Estrogen receptor pathway	1	12	16	8.33%	2.78	0.062
MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	1	12	13	8.33%	2.78	0.059
T-cell activation SARS-CoV-2	3	82	98	3.66%	2.73	0.011
Neuroinflammation and glutamatergic signaling	4	133	178	3.01%	2.67	0.009
Genes targeted by miRNAs in adipocytes	1	13	19	7.69%	2.65	0.069
MFAP5-mediated ovarian cancer cell motility and invasiveness	1	13	18	7.69%	2.65	0.070
Aryl hydrocarbon receptor pathway	2	45	57	4.44%	2.59	0.028
Thymic stromal lymphopoietin (TSLP) signaling pathway	2	46	49	4.35%	2.54	0.020
Mammary gland development pathway - Embryonic development (Stage 1 of 4)	1	14	21	7.14%	2.53	0.074
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	1	14	19	7.14%	2.53	0.068
Allograft rejection	3	92	113	3.26%	2.48	0.014
Small cell lung cancer	3	94	104	3.19%	2.43	0.022
Cysteine and methionine catabolism	1	15	74	6.67%	2.42	0.049
MAPK pathway in congenital thyroid cancer	1	15	19	6.67%	2.42	0.091
FOXP3 in COVID-19	1	16	19	6.25%	2.32	0.078
Lipid metabolism in senescent cells	1	16	25	6.25%	2.32	0.100
TGF-beta receptor signaling	2	53	56	3.77%	2.28	0.035
Novel intracellular components of RIG-I-like receptor pathway	2	55	64	3.64%	2.21	0.032
RANKL/RANK signaling pathway	2	55	58	3.64%	2.21	0.024
TGF-beta receptor signaling in skeletal dysplasias	2	56	60	3.57%	2.18	0.036
MAPK signaling pathway	5	229	258	2.18%	2.16	0.037
Kynurenine pathway and links to cell senescence	1	18	56	5.56%	2.14	0.035
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	1	18	20	5.56%	2.14	0.081
Modulators of TCR signaling and T cell activation	2	58	66	3.45%	2.12	0.046
BMP signaling in eyelid development	1	19	23	5.26%	2.06	0.107
Extracellular vesicles in the crosstalk of cardiac cells	1	19	30	5.26%	2.06	0.082
Hypertrophy model	1	19	21	5.26%	2.06	0.093
Regulation of apoptosis by parathyroid hormone-related protein	1	19	24	5.26%	2.06	0.108
Type II diabetes mellitus	1	19	28	5.26%	2.06	0.110
Alzheimer's disease	5	250	288	2.00%	1.94	0.054
Alzheimer's disease and miRNA effects	5	252	358	1.98%	1.93	0.038
Cancer immunotherapy by PD-1 blockade	1	21	35	4.76%	1.92	0.108
Galanin receptor pathway	1	21	22	4.76%	1.92	0.110
Host-pathogen interaction of human coronaviruses - apoptosis	1	21	34	4.76%	1.92	0.118
Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex	1	21	34	4.76%	1.92	0.095
Roles of ceramides in the development of insulin resistance	1	21	35	4.76%	1.92	0.101
AGE/RAGE pathway	2	65	67	3.08%	1.92	0.042
Dravet syndrome	1	22	31	4.55%	1.86	0.134
Eicosanoid synthesis	1	22	56	4.55%	1.86	0.030
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	1	22	24	4.55%	1.86	0.122
Photodynamic therapy-induced unfolded protein response	1	22	28	4.55%	1.86	0.132
Ulcerative colitis signaling	1	22	28	4.55%	1.86	0.124
Estrogen signaling pathway	1	23	26	4.35%	1.80	0.124
Physiological and pathological hypertrophy of the heart	1	23	27	4.35%	1.80	0.124
Chromosomal and microsatellite instability in colorectal cancer 	2	70	81	2.86%	1.79	0.068
IL1 and megakaryocytes in obesity	1	24	26	4.17%	1.74	0.112
Relationship between inflammation, COX-2 and EGFR	1	25	29	4.00%	1.69	0.122
Leptin signaling pathway	2	75	77	2.67%	1.68	0.052
Prolactin signaling pathway	2	75	79	2.67%	1.68	0.062
T cell receptor and co-stimulatory signaling	1	27	45	3.70%	1.59	0.140
Hepatitis B infection	3	146	155	2.05%	1.55	0.095
Eicosanoid metabolism via cyclooxygenases (COX)	1	29	72	3.45%	1.50	0.042
Initiation of transcription and translation elongation at the HIV-1 LTR	1	29	35	3.45%	1.50	0.170
Acute viral myocarditis	2	85	110	2.35%	1.48	0.075
Chemokine signaling pathway	3	152	172	1.97%	1.47	0.076
Cell migration and invasion through p75NTR	1	30	31	3.33%	1.45	0.129
Matrix metalloproteinases	1	30	31	3.33%	1.45	0.159
ErbB signaling pathway	2	87	101	2.30%	1.44	0.071
Prostaglandin and leukotriene metabolism in senescence 	1	31	57	3.23%	1.41	0.123
Interactions of natural killer cells in pancreatic cancer	1	32	43	3.13%	1.37	0.191
MAPK cascade	1	33	37	3.03%	1.34	0.174
B cell receptor signaling pathway	2	94	99	2.13%	1.32	0.079
Hepatocyte growth factor receptor signaling	1	34	35	2.94%	1.30	0.162
Amyotrophic lateral sclerosis (ALS)	1	36	56	2.78%	1.23	0.237
Host-pathogen interaction of human coronaviruses - MAPK signaling	1	36	43	2.78%	1.23	0.182
Neural crest cell migration during development	1	36	40	2.78%	1.23	0.175
Type II interferon signaling	1	36	38	2.78%	1.23	0.146
Endoplasmic reticulum stress response in coronavirus infection	1	37	57	2.70%	1.20	0.220
Complement system	2	103	143	1.94%	1.18	0.137
Circadian rhythm genes	3	181	209	1.66%	1.15	0.076
IL-5 signaling pathway	1	39	41	2.56%	1.14	0.180
Neural crest cell migration in cancer	1	39	43	2.56%	1.14	0.191
Oxidative damage response	1	39	44	2.56%	1.14	0.185
Oxysterols derived from cholesterol	1	39	112	2.56%	1.14	0.093
IL-2 signaling pathway	1	42	43	2.38%	1.06	0.192
IL6 signaling pathway	1	43	45	2.33%	1.03	0.191
Pre-implantation embryo	1	43	60	2.33%	1.03	0.241
Prostaglandin synthesis and regulation	1	43	61	2.33%	1.03	0.250
3q29 copy number variation syndrome	1	44	115	2.27%	1.00	0.095
Pluripotent stem cell differentiation pathway	1	45	64	2.22%	0.98	0.268
Copper homeostasis	1	46	58	2.17%	0.95	0.230
One-carbon metabolism and related pathways	1	46	94	2.17%	0.95	0.112
Exercise-induced circadian regulation	1	47	49	2.13%	0.93	0.207
IL-3 signaling pathway	1	48	50	2.08%	0.91	0.199
Adipogenesis	2	127	132	1.57%	0.86	0.140
Cardiac hypertrophic response	1	52	61	1.92%	0.82	0.270
IL-4 signaling pathway	1	54	55	1.85%	0.78	0.217
Brain-derived neurotrophic factor (BDNF) signaling pathway	2	140	150	1.43%	0.71	0.641
Oncostatin M signaling pathway	1	63	66	1.59%	0.61	0.292
Physico-chemical features and toxicity-associated pathways	1	64	78	1.56%	0.60	0.729
Thyroid stimulating hormone (TSH) signaling pathway	1	64	67	1.56%	0.60	0.362
GPCRs, other	1	66	114	1.52%	0.56	0.929
Trans-sulfuration, one-carbon metabolism and related pathways	1	66	132	1.52%	0.56	0.719
RAC1/PAK1/p38/MMP2 pathway	1	67	74	1.49%	0.55	0.921
Insulin signaling	2	159	162	1.26%	0.53	0.646
Hair follicle development: cytodifferentiation - part 3 of 3	1	73	93	1.37%	0.46	0.999
Clock-controlled autophagy in bone metabolism	1	74	83	1.35%	0.45	0.999
ncRNAs involved in Wnt signaling in hepatocellular carcinoma	1	76	96	1.32%	0.42	0.999
Clear cell renal cell carcinoma pathways	1	78	92	1.28%	0.39	0.999
p53 transcriptional gene network	1	79	103	1.27%	0.38	0.999
lncRNA in canonical Wnt signaling and colorectal cancer	1	82	102	1.22%	0.34	0.999
MicroRNAs in cardiomyocyte hypertrophy	1	82	109	1.22%	0.34	0.999
Androgen receptor signaling pathway	1	84	90	1.19%	0.32	0.999
EGFR tyrosine kinase inhibitor resistance	1	84	92	1.19%	0.32	0.999
Focal adhesion	2	188	201	1.06%	0.29	0.641
Malignant pleural mesothelioma	4	403	467	0.99%	0.27	0.740
Corticotropin-releasing hormone signaling pathway	1	90	98	1.11%	0.25	0.999
Wnt signaling pathway and pluripotency	1	91	106	1.10%	0.23	0.999
Wnt signaling	1	100	121	1.00%	0.14	0.999
Embryonic stem cell pluripotency pathways	1	107	123	0.93%	0.07	0.999
DNA damage response (only ATM dependent)	1	110	118	0.91%	0.04	0.999
GPCRs, class A rhodopsin-like	2	226	272	0.88%	0.02	0.999
Male infertility	1	116	150	0.86%	-0.01	0.999
mRNA processing	1	117	130	0.85%	-0.02	0.999
NRF2 pathway	1	118	145	0.85%	-0.03	0.999
Acrylamide biotransformation and exposure biomarkers	0	1	10	0.00%	-0.09	0.996
Amino acid conjugation of benzoic acid	0	1	15	0.00%	-0.09	0.999
Colchicine metabolic pathway	0	1	5	0.00%	-0.09	0.872
Direct reversal repair	0	1	4	0.00%	-0.09	0.762
Evolocumab mechanism to reduce LDL cholesterol	0	1	5	0.00%	-0.09	0.860
FABP4 in ovarian cancer	0	1	3	0.00%	-0.09	0.575
Flavan-3-ol metabolic pathway	0	1	69	0.00%	-0.09	0.999
Glucose homeostasis	0	1	24	0.00%	-0.09	0.999
Influenza A virus infection	0	1	16	0.00%	-0.09	0.999
Metabolism of dichloroethylene by CYP450	0	1	13	0.00%	-0.09	0.999
miRNA degrading enzymes	0	1	4	0.00%	-0.09	0.726
PCSK9-mediated LDL receptor degradation	0	1	3	0.00%	-0.09	0.553
Angiopoietin-like protein 8 regulatory pathway	1	126	155	0.79%	-0.09	0.999
TGF-beta signaling pathway	1	129	133	0.78%	-0.12	0.999
Aripiprazole metabolic pathway	0	2	7	0.00%	-0.13	0.847
Butyrate-induced histone acetylation	0	2	11	0.00%	-0.13	0.982
Felbamate metabolism	0	2	12	0.00%	-0.13	0.988
HIPK2 in kidney fibrosis	0	2	8	0.00%	-0.13	0.908
Hormonal control of pubertal growth spurt	0	2	8	0.00%	-0.13	0.901
Hypoxia-mediated EMT and stemness	0	2	6	0.00%	-0.13	0.719
Lidocaine metabolism	0	2	11	0.00%	-0.13	0.974
Mevalonate arm of cholesterol biosynthesis pathway with inhibitors	0	2	64	0.00%	-0.13	0.999
Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors	0	2	6	0.00%	-0.13	0.731
Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer	0	2	6	0.00%	-0.13	0.725
ALA oxylipin metabolism	0	3	17	0.00%	-0.16	0.995
Amino acid metabolism pathway excerpt: histidine catabolism extension	0	3	23	0.00%	-0.16	0.999
eIF5A regulation in response to inhibition of the nuclear export system	0	3	6	0.00%	-0.16	0.412
Ethylmalonic encephalopathy	0	3	20	0.00%	-0.16	0.998
GDNF signaling	0	3	168	0.00%	-0.16	0.950
Glycine metabolism	0	3	19	0.00%	-0.16	0.997
Heroin metabolism	0	3	8	0.00%	-0.16	0.716
Linoleic acid oxylipin metabolism	0	3	18	0.00%	-0.16	0.998
Metabolism of tetrahydrocannabinol (THC)	0	3	11	0.00%	-0.16	0.937
Vitamins A and D - action mechanisms	0	3	14	0.00%	-0.16	0.992
Caffeine and theobromine metabolism	0	4	18	0.00%	-0.19	0.994
Copper metabolism	0	4	7	0.00%	-0.19	0.300
Diclofenac metabolic pathway	0	4	12	0.00%	-0.19	0.860
Downregulation of ACE2 by SARS-CoV-2 spike protein	0	4	8	0.00%	-0.19	0.454
exRNA mechanism of action and biogenesis	0	4	8	0.00%	-0.19	0.485
mir-124 predicted interactions with cell cycle and differentiation 	0	4	8	0.00%	-0.19	0.480
miR-222 in exercise-induced cardiac growth	0	4	6	0.00%	-0.19	0.174
Neurotransmitter disorders	0	4	27	0.00%	-0.19	0.999
Nicotine effect on chromaffin cells	0	4	10	0.00%	-0.19	0.753
Oxytocin signaling	0	4	10	0.00%	-0.19	0.732
Peroxisomal beta-oxidation of tetracosanoyl-CoA	0	4	17	0.00%	-0.19	0.988
Polyol pathway	0	4	17	0.00%	-0.19	0.991
Secretion of hydrochloric acid in parietal cells	0	4	15	0.00%	-0.19	0.974
Serotonin receptor 2 and STAT3 signaling	0	4	6	0.00%	-0.19	0.175
Soluble ACE2-mediated cell entry of SARS-CoV-2	0	4	7	0.00%	-0.19	0.313
Sulindac metabolic pathway	0	4	11	0.00%	-0.19	0.805
Benzene metabolism	0	5	17	0.00%	-0.21	0.972
Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs)	0	5	14	0.00%	-0.21	0.858
Conversion of angiotensinogen to angiotensin II 	0	5	9	0.00%	-0.21	0.356
Creatine pathway	0	5	33	0.00%	-0.21	0.999
Disorders in ketolysis	0	5	21	0.00%	-0.21	0.993
Disorders in ketone body synthesis	0	5	32	0.00%	-0.21	0.999
Fluoroacetic acid toxicity	0	5	16	0.00%	-0.21	0.936
GABA metabolism (aka GHB)	0	5	42	0.00%	-0.21	0.999
Hijack of ubiquitination by SARS-CoV-2	0	5	12	0.00%	-0.21	0.741
Lamin A-processing pathway	0	5	8	0.00%	-0.21	0.233
let-7 inhibition of ES cell reprogramming	0	5	17	0.00%	-0.21	0.968
MicroRNA network associated with chronic lymphocytic leukemia	0	5	10	0.00%	-0.21	0.505
miR-517 relationship with ARCN1 and USP1	0	5	7	0.00%	-0.21	0.132
miRNA biogenesis	0	5	7	0.00%	-0.21	0.118
Mitochondrial complex II assembly	0	5	10	0.00%	-0.21	0.478
Mitochondrial fatty acid synthesis pathway	0	5	21	0.00%	-0.21	0.996
SARS-CoV-2 altering angiogenesis via NRP1	0	5	11	0.00%	-0.21	0.616
SARS-CoV-2 replication organelle formation	0	5	10	0.00%	-0.21	0.474
Somitogenesis in the context of spondylocostal dysostosis	0	5	10	0.00%	-0.21	0.492
TCA cycle nutrient use and invasiveness of ovarian cancer	0	5	11	0.00%	-0.21	0.635
Vitamin B6-dependent and responsive disorders	0	5	29	0.00%	-0.21	0.999
Breast cancer pathway	1	143	167	0.70%	-0.22	0.853
Cellular proteostasis	0	6	15	0.00%	-0.23	0.778
Cerebral organic acidurias, including diseases	0	6	46	0.00%	-0.23	0.999
DDX1 as a regulatory component of the Drosha microprocessor	0	6	8	0.00%	-0.23	0.089
Dual hijack model of Vif in HIV infection	0	6	10	0.00%	-0.23	0.285
Estradiol regulation in Porto-Sinusoidal Vascular Disease	0	6	15	0.00%	-0.23	0.800
Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	0	6	26	0.00%	-0.23	0.998
Hfe effect on hepcidin production	0	6	8	0.00%	-0.23	0.081
Linoleic acid metabolism affected by SARS-CoV-2	0	6	34	0.00%	-0.23	0.999
MED and pseudoachondroplasia genes	0	6	7	0.00%	-0.23	0.055
Metastatic brain tumor	0	6	28	0.00%	-0.23	0.999
Mitochondrial beta oxidation	0	6	159	0.00%	-0.23	0.938
NAD biosynthesis II (from tryptophan)	0	6	34	0.00%	-0.23	0.999
Nicotine metabolism in liver cells	0	6	18	0.00%	-0.23	0.936
NIPBL role in DNA damage - Cornelia de Lange syndrome	0	6	9	0.00%	-0.23	0.174
Pilocytic astrocytoma	0	6	14	0.00%	-0.23	0.742
Robo4 and VEGF signaling pathways crosstalk	0	6	7	0.00%	-0.23	0.038
Somatroph axis (GH) and its relationship to dietary restriction and aging	0	6	12	0.00%	-0.23	0.508
Type III interferon signaling	0	6	11	0.00%	-0.23	0.402
Tyrosine metabolism and related disorders	0	6	41	0.00%	-0.23	0.999
VEGFA-VEGFR2 signaling pathway	3	396	436	0.76%	-0.25	0.734
15q11.2 copy number variation syndrome	0	7	13	0.00%	-0.25	0.432
Acetylcholine synthesis	0	7	18	0.00%	-0.25	0.854
Aflatoxin B1 metabolism	0	7	16	0.00%	-0.25	0.729
Amino acid metabolism in triple-negative breast cancer cells	0	7	30	0.00%	-0.25	0.998
Arachidonate epoxygenase / epoxide hydrolase	0	7	18	0.00%	-0.25	0.855
Arylamine metabolism	0	7	13	0.00%	-0.25	0.445
Biosynthesis and turnover of 1-deoxy-sphingoid bases	0	7	32	0.00%	-0.25	0.999
Cholesterol biosynthesis with skeletal dysplasias	0	7	23	0.00%	-0.25	0.980
Effects of nitric oxide	0	7	16	0.00%	-0.25	0.734
FTO obesity variant mechanism	0	7	11	0.00%	-0.25	0.208
Gene regulatory network modelling somitogenesis 	0	7	13	0.00%	-0.25	0.442
Glial cell differentiation	0	7	9	0.00%	-0.25	0.071
HIF1A and PPARG regulation of glycolysis	0	7	19	0.00%	-0.25	0.906
Hypothetical craniofacial development pathway	0	7	11	0.00%	-0.25	0.210
Kinin-Kallikrein pathway	0	7	10	0.00%	-0.25	0.145
Krebs cycle disorders	0	7	34	0.00%	-0.25	0.999
LDLRAD4 and what we know about it	0	7	12	0.00%	-0.25	0.319
lncRNA-mediated mechanisms of therapeutic resistance	0	7	14	0.00%	-0.25	0.548
MicroRNA for targeting cancer growth and vascularization in glioblastoma	0	7	10	0.00%	-0.25	0.124
Molybdenum cofactor (Moco) biosynthesis	0	7	21	0.00%	-0.25	0.951
mRNA, protein, and metabolite inducation pathway by cyclosporin A	0	7	23	0.00%	-0.25	0.977
Pentose phosphate metabolism	0	7	21	0.00%	-0.25	0.955
Phase I biotransformations, non P450	0	7	13	0.00%	-0.25	0.407
SARS-CoV-2 and ACE2 receptor: molecular mechanisms	0	7	14	0.00%	-0.25	0.534
ApoE and miR-146 in inflammation and atherosclerosis	0	8	13	0.00%	-0.27	0.254
ATR signaling	0	8	10	0.00%	-0.27	0.056
Caloric restriction and aging	0	8	13	0.00%	-0.27	0.247
Effect of intestinal microbiome on anticoagulant response of Vitamin K antagonists	0	8	27	0.00%	-0.27	0.993
Glucose metabolism in triple-negative breast cancer cells	0	8	22	0.00%	-0.27	0.934
Insulin signaling in adipocytes (diabetic condition)	0	8	12	0.00%	-0.27	0.183
Insulin signaling in adipocytes (normal condition)	0	8	15	0.00%	-0.27	0.449
Ketogenesis and ketolysis	0	8	27	0.00%	-0.27	0.992
Methylation pathways	0	8	15	0.00%	-0.27	0.465
Nod-like receptor (NLR) signaling pathway	0	8	11	0.00%	-0.27	0.097
Non-classical role of vitamin D	0	8	23	0.00%	-0.27	0.947
Peroxiredoxin 2 induced ovarian failure	0	8	13	0.00%	-0.27	0.244
SARS-CoV-2 B.1.1.7 variant antagonises innate immune activation	0	8	15	0.00%	-0.27	0.432
Serine metabolism	0	8	43	0.00%	-0.27	0.999
Tgif disruption of Shh signaling	0	8	10	0.00%	-0.27	0.072
Thiamine metabolic pathways	0	8	34	0.00%	-0.27	0.998
Arsenic metabolism and reactive oxygen species generation	0	9	28	0.00%	-0.28	0.982
Benzo(a)pyrene metabolism	0	9	17	0.00%	-0.28	0.472
Biotin metabolism, including IMDs	0	9	38	0.00%	-0.28	0.999
Eicosanoid metabolism via cytochrome P450 monooxygenases pathway	0	9	23	0.00%	-0.28	0.907
Folate-alcohol and cancer pathway hypotheses	0	9	24	0.00%	-0.28	0.935
Hemesynthesis defects and porphyrias	0	9	37	0.00%	-0.28	0.998
Heme biosynthesis	0	9	28	0.00%	-0.28	0.979
Liver X receptor pathway	0	9	12	0.00%	-0.28	0.072
Pentose phosphate pathway in senescent cells	0	9	34	0.00%	-0.28	0.999
PTF1A related regulatory pathway	0	9	12	0.00%	-0.28	0.088
SARS-CoV-2 and COVID-19 pathway	0	9	71	0.00%	-0.28	0.999
SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome	0	9	12	0.00%	-0.28	0.094
SRF and miRs in smooth muscle differentiation and proliferation	0	9	18	0.00%	-0.28	0.570
TCA cycle in senescence	0	9	30	0.00%	-0.28	0.996
Transcription factors regulate miRNAs related to cardiac hypertrophy	0	9	16	0.00%	-0.28	0.354
Vitamin D receptor pathway	1	152	188	0.66%	-0.28	0.642
Acquired partial lipodystrophy / Barraquer-Simons syndrome	0	10	17	0.00%	-0.30	0.320
Bile acids synthesis and enterohepatic circulation 	0	10	18	0.00%	-0.30	0.415
Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine	0	10	59	0.00%	-0.30	0.999
COVID-19, thrombosis and anticoagulation	0	10	27	0.00%	-0.30	0.944
Deregulation of Rab and Rab effector genes in bladder cancer	0	10	17	0.00%	-0.30	0.310
FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	0	10	36	0.00%	-0.30	0.997
Gastric acid production	0	10	24	0.00%	-0.30	0.833
Glyoxylate metabolism	0	10	46	0.00%	-0.30	0.999
Hedgehog signaling pathway	0	10	17	0.00%	-0.30	0.287
Iron metabolism in placenta	0	10	15	0.00%	-0.30	0.170
Leptin and adiponectin	0	10	14	0.00%	-0.30	0.111
Lipid particles composition	0	10	21	0.00%	-0.30	0.676
Mammary gland development pathway - Involution (Stage 4 of 4)	0	10	13	0.00%	-0.30	0.075
mRNA vaccine activation of dendritic cell and induction of IFN-1	0	10	13	0.00%	-0.30	0.073
Non-homologous end joining	0	10	11	0.00%	-0.30	0.054
PtdIns(4,5)P2 in cytokinesis pathway	0	10	18	0.00%	-0.30	0.412
Steroid biosynthesis	0	10	25	0.00%	-0.30	0.895
Vitamin B12 disorders	0	10	36	0.00%	-0.30	0.998
EGF/EGFR signaling pathway	1	155	163	0.65%	-0.31	0.738
Alanine and aspartate metabolism	0	11	66	0.00%	-0.31	0.999
Autosomal recessive osteopetrosis pathways	0	11	14	0.00%	-0.31	0.078
Biomarkers for urea cycle disorders	0	11	51	0.00%	-0.31	0.999
