Code,foldchange,samp.lf
AMIGO2,-0.103015485,0.269419164
AMIGO3,-0.092030967,0.198797632
AMMECR1,-0.016086238,0.917424343
AMN,-0.017366058,0.810355161
AMOT,0.022728156,0.494327044
AMOTL2,-0.017746503,0.988964854
AMPD1,0.052876033,0.656216796
AMPD2,-0.112882089,0.210375879
AMPD3,-0.056638884,0.418233814
AMPH,0.10114675,0.421151313
AMT,-0.394229329,0.002770255
AMY1A,-0.406678579,0.11209323
AMY1B,-0.406678579,0.11209323
AMY1C,-0.406678579,0.11209323
AMY2A,-0.406678579,0.11209323
AMY2B,-0.406678579,0.11209323
AMZ2,-0.12424609,0.236152423
ANAPC1,-0.09725333,0.087261561
ANAPC10,0.100162403,0.250801332
ANAPC13,0.032180702,0.403762486
ANAPC15,0.077051966,0.287012949
ANAPC2,-0.202584066,0.072120607
ANAPC5,-0.083710016,0.097692934
ANG,0.116858502,0.264062153
ANGEL1,-0.121040955,0.027342212
ANGEL2,-0.08266047,0.274884203
ANGPT1,0.058694763,0.358553459
ANGPT2,-0.041686065,0.838176841
ANGPT4,-0.025241751,0.827345912
ANGPTL2,0.011330523,0.702733999
ANGPTL3,0.122518818,0.080497225
ANGPTL4,-0.003086737,0.838415834
ANGPTL7,0.067170948,0.074676286
ANK1,-0.033893461,0.83572549
ANK2,0.030769908,0.661372549
ANK3,-0.029097582,0.48963596
ANKEF1,-0.03343011,0.911826859
ANKFY1,-0.361336704,0.015233444
ANKH,0.090034758,0.863842397
ANKHD1,0.00685565,0.561682575
ANKHD1-EIF4EBP3,0.00685565,0.561682575
ANKLE2,-0.104102168,0.151435442
ANKMY1,-0.087663899,0.084159822
ANKMY2,0.027980744,0.914415834
ANKRA2,-0.061883002,0.956134665
ANKRD1,0.026127147,0.947473918
ANKRD10,-0.136098573,0.058856826
ANKRD10-IT1,0.038478007,0.662550499
ANKRD11,-0.421048051,0.09691158
ANKRD12,0.033054696,0.808192379
ANKRD17,-0.077322071,0.227053644
ANKRD2,-0.030875548,0.817172771
ANKRD26,0.049575875,0.716304107
ANKRD27,-0.189375327,0.043165372
ANKRD28,-0.087796471,0.310741398
ANKRD34C,0.017129258,0.767448761
ANKRD36,-0.237571579,0.256762856
ANKRD36B,-0.935433218,0.012936737
ANKRD36BP2,0.09477742,0.136981872
ANKRD40,0.098280731,0.455408065
ANKRD46,0.084630442,0.845774325
ANKRD49,-0.20762594,0.280515723
ANKRD53,-0.033815659,0.781648539
ANKRD55,0.325582662,0.18809323
ANKRD6,0.054560945,0.877155013
ANKRD7,0.080440973,0.121864595
ANKS1A,-0.273090872,0.028922679
ANKS1B,-0.064320892,0.533300037
ANKZF1,-0.335545721,0.030284869
ANO1,-0.065607074,0.466935997
ANO10,0.255732636,0.030141324
ANO2,-0.042174595,0.554512024
ANO3,0.041477633,0.730841287
ANP32A,0.1302238,0.161142434
ANP32A-IT1,-0.105607117,0.381633
ANP32B,0.107559974,0.372651128
ANP32C,0.040739429,0.124159083
ANP32D,-0.000970074,0.695934147
ANP32E,0.222248146,0.070805771
ANPEP,0.52503467,0.251331114
ANTXR1,-0.027555761,0.89690714
ANXA1,0.206767528,0.102097669
ANXA10,0.126376862,0.143214206
ANXA11,-0.035297111,0.562706622
ANXA13,0.062415764,0.582076212
ANXA2,-0.067349971,0.635806511
ANXA2P1,0.126140423,0.229786164
ANXA2P2,-0.061387857,0.428148724
ANXA2P3,0.04417552,0.876469848
ANXA3,-0.236501295,0.381254162
ANXA4,-0.025328359,0.983083981
ANXA5,-0.022514925,0.731391047
ANXA6,-0.170863326,0.040256752
ANXA7,0.109960035,0.070866445
ANXA8,0.032760822,0.962710322
ANXA8L1,0.032760822,0.962710322
ANXA9,-0.05747764,0.373982982
AOAH,-0.084563084,0.301105438
AOC1,0.005119813,0.461201628
AOC2,0.006465858,0.87127562
AOC3,0.018575216,0.56081465
AOC4P,0.059506963,0.317394007
AOX1,0.007248722,0.624833148
AP001062.7,0.015454998,0.985198668
AP1AR,0.111058723,0.468824269
AP1B1,-0.141612713,0.139746948
AP1G1,-0.147842505,0.11127414
AP1G2,-0.166794533,0.031941546
AP1M2,-0.027458078,0.627715871
AP1S1,0.087795527,0.203569367
AP1S2,0.155309763,0.289772105
AP2A2,-0.10311344,0.062386238
AP2B1,-0.061156416,0.19699593
AP2M1,0.015817727,0.99909212
AP2S1,0.060773992,0.637237884
AP3B1,0.077970748,0.362843507
AP3B2,0.021244719,0.823419164
AP3D1,-0.204734215,0.088789493
AP3M2,-0.226182492,0.0569064
AP3S1,0.082753058,0.076434332
AP3S2,0.025393187,0.949119497
AP4E1,0.040292393,0.469021088
AP4M1,0.072422066,0.912109508
AP4S1,-0.041414613,0.911967444
AP5M1,0.18083325,0.380505364
AP5S1,0.006327802,0.576254532
AP5Z1,-0.136120273,0.058805771
APAF1,-0.016504292,0.451046985
APBA1,-0.019859904,0.581474658
APBA2,-0.172539767,0.141576767
APBA3,0.027198162,0.719046245
APBB1,0.035599681,0.787215686
APBB1IP,0.002353305,0.246224935
APBB2,-0.03495349,0.528297447
APBB3,-0.134476222,0.094722161
APC,0.043498143,0.730250092
APC2,0.098198227,0.195525712
APCS,-0.04902193,0.936024417
APEH,-0.007072006,0.68827673
APEX1,-0.007105462,0.795062523
APEX2,-0.035608445,0.660377358
APH1A,0.113429318,0.584762856
APH1B,-0.003906573,0.794401036
API5,0.025996097,0.873071402
APIP,0.058682199,0.563889752
APITD1,0.054946705,0.495054384
APITD1-CORT,0.054946705,0.495054384
APLNR,-0.021910097,0.957990381
APLP1,0.031501799,0.985612283
APLP2,-0.100589801,0.336510544
APMAP,-0.107578097,0.231066963
APOA1,0.05431024,0.126838328
APOA2,0.065484963,0.248862745
APOA4,0.075213581,0.454852386
APOB,-0.089477414,0.220008879
APOBEC1,0.074087836,0.520037736
APOBEC2,0.07033598,0.136072512
APOBEC3A,0.27469164,0.254261191
APOBEC3A_B,0.27469164,0.254261191
APOBEC3B,-0.12636452,0.176384018
APOBEC3C,-0.098720502,0.920923418
APOBEC3F,-0.251852307,0.306578616
APOBEC3G,-0.235843998,0.44536367
APOBR,0.067851345,0.820266371
APOC1,0.060474141,0.412840548
APOC2,0.052917898,0.495438402
APOC3,0.010653281,0.726751017
APOC4,0.052917898,0.495438402
APOC4-APOC2,0.052917898,0.495438402
APOD,0.07720878,0.266756937
APOE,-0.041933063,0.721265261
APOF,0.049503626,0.688369959
APOH,-0.023006243,0.750240474
APOL1,-0.282610172,0.157786164
APOL2,0.01356094,0.659285979
APOL3,0.016076111,0.856577876
APOL5,0.016841628,0.901800222
APOL6,-0.155759357,0.609323714
APOLD1,-0.051648219,0.492101739
APOM,0.216604992,0.037074362
APOO,-0.104049873,0.746748798
APOOL,0.084037855,0.572368479
APP,0.033665366,0.768765076
APPBP2,0.072973464,0.69573067
APPL1,0.073039779,0.477251942
APPL2,-0.091568877,0.201136515
APRT,0.099802185,0.72154199
APTX,-0.124188202,0.051519053
AQP1,0.045778237,0.303873474
AQP2,0.022571902,0.627565668
AQP3,0.083111715,0.779357751
AQP4,-0.002868951,0.895035146
AQP5,-0.14659011,0.276295967
AQP6,0.035910684,0.475851276
AQP7,0.025484962,0.592356641
AQP8,-0.015984472,0.889449501
AQP9,0.458745622,0.047950425
AQR,0.069510465,0.851046985
AR,-0.014212418,0.880586755
ARAF,-0.164049443,0.001899371
ARAP1,-0.115224141,0.163499815
ARAP2,-0.13412529,0.482610433
ARAP3,-0.146188813,0.103309656
ARC,0.160463292,0.132652608
ARCN1,-0.02268555,0.336693304
AREG,0.110223753,0.096310766
AREL1,-0.290558317,0.010368479
ARF1,-0.20173416,0.076220496
ARF1P1,0.089744822,0.4161798
ARF3,0.073227504,0.439758787
ARF4,0.145108617,0.049027007
ARF5,0.098933119,0.406254532
ARF6,-0.058813048,0.845675916
ARFGAP1,-0.218067577,0.002628191
ARFGAP2,-0.226693251,0.013735849
ARFGAP3,0.110048338,0.324855346
ARFGEF1,-0.046801126,0.470715501
ARFGEF2,-0.008148003,0.825613762
ARFIP1,0.06577488,0.583242323
ARFIP2,-0.124562781,0.315103219
ARFRP1,0.043623907,0.402039956
ARG1,-0.067823285,0.733203108
ARG2,-0.052498962,0.840830189
ARGLU1,-0.321589503,0.124517203
ARHGAP1,-0.005234474,0.786715501
ARHGAP10,-0.100646351,0.653933407
ARHGAP11A,-0.073504074,0.328141324
ARHGAP12,0.021832841,0.527977802
ARHGAP15,0.121775499,0.46045061
ARHGAP17,-0.082922454,0.271506474
ARHGAP19,-0.160010405,0.092808731
ARHGAP22,-0.001785571,0.710884203
ARHGAP24,0.248836683,0.017672956
ARHGAP25,-0.175220008,0.014970773
ARHGAP26,-0.044293772,0.587771365
ARHGAP28,0.005510409,0.921951165
ARHGAP29,0.078217395,0.940832408
ARHGAP32,-0.178723757,0.064501665
ARHGAP33,-0.014514803,0.564200518
ARHGAP35,-0.018894998,0.865945246
ARHGAP4,-0.183256214,0.076222716
ARHGAP44,0.044753813,0.258099149
ARHGAP5,-0.173889541,0.503251942
ARHGAP6,0.235253129,0.305345912
ARHGAP8,0.022926892,0.937886053
ARHGDIA,-0.052680407,0.675146874
ARHGDIB,-0.006755392,0.630937477
ARHGDIG,0.08997883,0.135199408
ARHGEF1,-0.168210044,0.045081021
ARHGEF10,0.05777646,0.422862005
ARHGEF10L,-0.0742947,0.299206067
