Code,foldchange,samp.nuts
ACP2,-0.170966825,0.089749168
ACP5,0.392968036,0.030718461
ACP6,0.098071056,0.279447281
ACPP,0.095048314,0.532475028
ACR,0.040671876,0.491192749
ACRV1,0.091594641,0.066440991
ACSBG1,0.019409811,0.791901591
ACSBG2,-0.026354977,0.758229375
ACSF2,0.012795393,0.858665927
ACSL1,0.192177286,0.42745542
ACSL3,0.012202175,0.894391417
ACSL4,0.049436497,0.801865335
ACSL5,-0.05511735,0.599302997
ACSL6,0.062138179,0.21554643
ACSM1,-0.040289272,0.522933037
ACSM2A,0.070997614,0.514142804
ACSM2B,0.070997614,0.514142804
ACSM3,0.140976457,0.039837958
ACSM5,0.037832183,0.356872364
ACSS3,0.112982131,0.053570847
ACTA1,0.145685443,0.006957455
ACTA2,-0.180625424,0.110741398
ACTB,-0.031117648,0.746553459
ACTBP9,-0.012373909,0.942870884
ACTC1,0.063238941,0.387929708
ACTG1,0.012694584,0.892041435
ACTG1P4,-0.259677068,0.483972623
ACTG2,-0.030405359,0.638027377
ACTL6A,0.082693009,0.379615982
ACTL6B,0.077981293,0.205503515
ACTL7A,0.039751845,0.521685535
ACTL7B,0.153801205,0.06718535
ACTL8,0.078988475,0.239411025
ACTN1,-0.013469344,0.894127266
ACTN2,0.036448068,0.278671846
ACTN3,0.107264504,0.289194969
ACTN4,-0.192484305,0.038886422
ACTR10,0.147599789,0.246627451
ACTR1A,0.023727673,0.788298927
ACTR1B,-0.123905393,0.053786164
ACTR2,0.153872659,0.322554199
ACTR3,0.11627513,0.162078431
ACTR3B,-0.065119262,0.432301887
ACTR3P2,0.019976854,0.754613393
ACTR5,-0.116583944,0.449714391
ACTR6,0.182373382,0.069115057
ACTR8,-0.048587301,0.580216056
ACVR1,0.085331782,0.552867185
ACVR1B,-0.043812287,0.357667777
ACVR2A,0.223287069,0.20363892
ACVR2B,0.065938712,0.489412505
ACVR2B-AS1,0.008409958,0.930278209
ACVRL1,0.109212502,0.26472438
ACY1,0.020176345,0.846336663
ACYP1,0.046231695,0.747506474
ACYP2,0.07270379,0.25481983
ADA,0.019253941,0.829248243
ADAM10,0.143023212,0.159290418
ADAM11,0.046635521,0.433371809
ADAM12,-0.00575232,0.890687384
ADAM15,0.023817483,0.816290788
ADAM17,-0.049047926,0.595769145
ADAM18,0.040924654,0.414523122
ADAM19,-0.055207227,0.524788753
ADAM2,0.026071045,0.65145542
ADAM20,0.019083895,0.701024047
ADAM21,-0.029421779,0.584500185
ADAM22,0.06032551,0.095053644
ADAM23,-0.014465509,0.826793933
ADAM28,-0.053491427,0.58445283
ADAM29,0.035449838,0.480367
ADAM30,-0.04159742,0.525739549
ADAM3A,-0.056897226,0.238830929
ADAM3B,-0.030315362,0.516255272
ADAM5,0.134641443,0.049672216
ADAM7,0.034067338,0.548282649
ADAM8,-0.025838232,0.708699963
ADAM9,-0.057380578,0.747237884
ADAMDEC1,0.059878844,0.344944876
ADAMTS1,-0.284161283,0.034843507
ADAMTS12,0.129814281,0.157235664
ADAMTS13,0.042350628,0.523217906
ADAMTS2,0.032337274,0.465479097
ADAMTS20,0.032902206,0.60881613
ADAMTS3,0.027265004,0.688401036
ADAMTS5,0.133250939,0.224078431
ADAMTS6,-0.003793687,0.957792823
ADAMTS7,0.011747844,0.848537181
ADAMTS8,-0.001686217,0.974016278
ADAMTS9,-0.047156689,0.562881243
ADAMTSL2,0.005376445,0.950216796
ADAMTSL3,0.047726583,0.344073252
ADAMTSL4,-0.024609755,0.748746578
ADAP1,0.005759019,0.94135997
ADAP2,-0.138170894,0.02363818
ADAR,-0.208196091,0.024642989
ADARB1,-0.124640619,0.124195339
ADARB2,0.041195805,0.445075842
ADAT1,-0.156752541,0.221356271
ADCK2,0.0855761,0.254260451
ADCK3,-0.12854622,0.073420644
ADCK4,-0.009328548,0.875032926
ADCY1,0.083486496,0.225388087
ADCY10,0.026306754,0.560438032
ADCY2,0.068608807,0.131880873
ADCY3,-0.12034422,0.031014428
ADCY6,0.101816953,0.10727192
ADCY7,-0.409093607,0.00754125
ADCY8,0.033347209,0.720162042
ADCY9,-0.099992282,0.128214576
ADCYAP1,0.077742728,0.305981502
ADCYAP1R1,0.107575683,0.058223455
ADD1,-0.08989356,0.214823529
ADD2,-0.03346797,0.696685905
ADD3,-0.01472031,0.848015538
ADD3-AS1,0.094588876,0.280208657
ADGB,0.043441365,0.359314095
ADH1A,-0.048798714,0.429143174
ADH1B,0.042233983,0.250901221
ADH1C,0.067877235,0.333135775
ADH5,0.144881037,0.141772105
ADH6,0.070754846,0.12200296
ADH7,0.094721197,0.216743618
ADI1,0.03279787,0.749826859
ADIPOQ,0.016743805,0.77118091
ADIPOR1,0.00878355,0.958894562
ADIPOR2,-0.155889846,0.159428783
ADIRF,-0.027781686,0.721945986
ADK,0.250917066,0.000967074
ADM,0.416817372,0.351388827
ADM2,0.090274858,0.24354717
ADNP,-0.220084571,0.05626859
ADNP2,-0.27077258,0.047523492
ADO,-0.046951436,0.63981724
ADORA1,0.082012621,0.135211247
ADORA2A,-0.061757057,0.554463189
ADORA2B,0.08434378,0.46636478
ADORA3,-0.008169251,0.919348132
ADPGK,-0.091916798,0.133711432
ADPRH,0.075465574,0.287665557
ADPRM,0.316273587,0.136413615
ADRA1A,0.025371498,0.521078801
ADRA1B,-0.05621204,0.374213836
ADRA1D,0.084694976,0.124227895
ADRA2A,0.05931747,0.505259341
ADRA2B,-0.016360037,0.880792453
ADRA2C,0.005978208,0.953531632
ADRB1,0.025840713,0.612347022
ADRB2,-0.351976545,0.062019978
ADRB3,0.074401437,0.133851276
ADRBK1,-0.014542126,0.839479837
ADRBK2,-0.02888443,0.603121717
ADRM1,-0.049438936,0.479920829
ADSL,0.057489672,0.400267851
ADSS,0.45633414,0.004520163
ADTRP,0.097736856,0.267539771
AEBP1,0.096405336,0.249705512
AEN,0.038361872,0.683007029
AES,-0.057357879,0.62400222
AF007147,-0.432539767,0.187411765
AF070581,0.047967342,0.436734739
AF090939,0.031210512,0.73864003
AF198444,-0.004867299,0.932265631
AFAP1,-0.070092721,0.412587495
AFF1,-0.008035657,0.857351831
AFF2,0.071514273,0.062515723
AFF3,-0.028535111,0.329830559
AFF4,0.123400462,0.054602294
AFG3L2,0.071598061,0.403621902
AFM,0.073690823,0.172592675
AFP,0.05774039,0.521738809
AFTPH,0.023989419,0.716483167
AGA,0.1160375,0.344941176
AGAP1,-0.555125244,0.020046615
AGAP10,-0.212714687,0.256751017
AGAP11,-0.239377962,0.217967074
AGAP2,-0.056479985,0.30554421
AGAP4,-0.239377962,0.217967074
AGAP5,-0.212714687,0.256751017
AGAP6,-0.266041237,0.17918313
AGAP7P,-0.266041237,0.17918313
AGAP9,-0.212714687,0.256751017
AGBL2,0.129128866,0.189785424
AGBL3,0.066986803,0.207602664
AGBL5,0.026033062,0.820322605
AGER,-0.037752174,0.724399556
AGFG1,0.10426447,0.242552719
AGFG2,-0.061364192,0.295875694
AGGF1,0.026726975,0.716748058
AGK,0.05577983,0.540022198
AGL,0.006536417,0.953584166
AGMAT,-0.051499762,0.474476508
AGO1,-0.207638561,0.019604144
AGO2,-0.094969219,0.217739549
AGO3,-0.164421236,0.135833518
AGO4,-0.19291809,0.076961894
AGPAT1,-0.129994417,0.262563818
AGPAT2,0.010140375,0.919446541
AGPAT3,-0.03436288,0.705315575
AGPAT4,0.108775175,0.396008139
AGPAT5,0.071311054,0.516209397
AGPS,0.411686216,0.023859415
AGR2,0.050701291,0.585957825
AGRN,-0.006296001,0.882862745
AGRP,0.139021933,0.107956345
AGT,0.011410246,0.913688494
AGTPBP1,-0.074174906,0.307648539
AGTR1,0.02347999,0.626010359
AGTR2,0.061392344,0.09445357
AGXT,0.040059624,0.281514613
AHCTF1,0.00700852,0.945980022
AHCY,0.096517938,0.540532001
AHCYL1,-0.026705007,0.655503515
AHCYL2,0.069077537,0.30045135
AHDC1,-0.07063698,0.602014058
AHI1,0.117993743,0.010420274
AHNAK,-0.174246772,0.163266741
AHNAK2,-0.006859222,0.925157973
AHR,0.065315778,0.516708102
AHSA1,0.147005862,0.294117647
AHSA2,-0.302723851,0.290410655
AHSG,0.031296655,0.555642619
AHSP,-0.047810712,0.572401036
AICDA,-0.027396342,0.709676656
AIDA,0.11548103,0.650250832
AIF1,0.049011583,0.531411025
AIFM1,0.048698323,0.621891232
AIM1,-0.058237531,0.537328894
AIM1L,0.139527059,0.058614872
AIM2,0.008880867,0.951886792
AIMP1,0.07607891,0.475627821
AIMP2,-0.014617514,0.876468368
AIP,-0.105611202,0.405982982
AIPL1,0.093685049,0.109928228
AIRE,0.004354946,0.965168331
AJ011981,-0.014553138,0.865691454
AJAP1,0.022422715,0.554232334
AK021537,0.025358685,0.711599704
AK021933,0.035254618,0.239051424
AK022030,-0.146109549,0.233568627
AK055967,0.027866687,0.626849427
AK055981,-0.174984792,0.161765816
AK096803,0.040009298,0.671173511
AK1,0.075135534,0.67791121
AK125860,-0.056206416,0.48772993
AK2,-0.05388472,0.444257492
AK291611,0.009396217,0.909045505
AK4,0.105213947,0.135953385
AK5,0.135277493,0.164495745
AK6,0.035745088,0.762286349
AKAP1,-0.080087818,0.325023307
AKAP10,-0.034962644,0.736825749
AKAP11,-0.031629094,0.590742138
AKAP12,0.072567664,0.335644839
AKAP13,-0.147596914,0.354963374
AKAP17A,-0.248669676,0.249168331
AKAP2,-0.10026707,0.439190529
AKAP3,0.138600145,0.085044025
AKAP4,-0.077026525,0.146328524
AKAP5,-0.008019983,0.8752697
AKAP6,0.059901584,0.165328154
AKAP7,0.097732853,0.053768405
AKAP8,0.008698704,0.892583796
AKAP8L,-0.101487406,0.325027747
AKAP9,-0.006681648,0.952739919
AKIP1,-0.21694482,0.450838328
AKIRIN1,0.246726071,0.035763966
AKR1A1,-0.08880141,0.373246763
AKR1B1,-0.081725788,0.478742878
AKR1B10,0.099347526,0.092903441
AKR1C1,0.094478519,0.074222716
AKR1C2,0.057470735,0.339986681
AKR1C3,0.055654335,0.716868664
AKR1C4,0.054678198,0.257777284
AKR1D1,-0.002579203,0.965711432
AKR7A2,-0.076371287,0.502859785
AKR7A3,-0.071837231,0.438250092
AKT1,-0.160463716,0.083786164
AKT2,0.063344034,0.147413245
AKT3,-0.019673487,0.798870144
AKTIP,0.104120863,0.069498335
AL109706,-0.003519286,0.920804292
AL590762.11,-0.112652947,0.192576397
AL928768.3,0.047300701,0.833590085
ALAD,-0.071542355,0.216575657
ALAS1,-0.04029269,0.692050314
ALAS2,0.203792409,0.174236034
ALB,0.065069653,0.083794303
ALCAM,0.037969123,0.512312246
ALDH18A1,-0.065326289,0.666226415
ALDH1A1,0.185753736,0.517601924
ALDH1A2,0.09469179,0.291298557
ALDH1A3,0.14535876,0.025875694
ALDH1B1,0.085571761,0.341218646
ALDH1L1,-0.00816882,0.861357011
ALDH2,0.003631279,0.972800592
ALDH3A1,-0.072562917,0.200605253
ALDH3A2,0.061478203,0.216771735
ALDH3B1,-0.014856654,0.826040696
ALDH3B2,0.032306387,0.559677395
ALDH4A1,-0.002004398,0.976236034
ALDH5A1,0.024302729,0.819371809
ALDH6A1,-0.042881454,0.491152053
ALDH7A1,0.021437748,0.707756567
ALDH8A1,0.102325062,0.386259711
ALDH9A1,0.032952064,0.634750277
ALDOA,-0.031991525,0.791071402
ALDOAP2,0.080296464,0.299683315
ALDOB,0.058786248,0.183259341
ALDOC,0.080370054,0.388742878
ALG11,-0.005293101,0.836682945
ALG12,-0.212170978,0.007044025
ALG13,-0.004792918,0.970230115
ALG3,-0.003210536,0.960994451
ALG5,0.135362115,0.291944506
ALG6,0.084208982,0.329555309
ALG8,0.209898463,0.038394377
ALG9,0.079622321,0.533550129
ALK,0.065000435,0.269415464
ALKBH1,-0.049570967,0.689124676
ALKBH4,0.063873093,0.536139105
ALLC,0.069718722,0.367505734
ALMS1,-0.125702439,0.336493526
ALOX12,-0.152557229,0.467596004
ALOX12B,0.032392261,0.504685165
ALOX12P2,0.04878445,0.40482057
ALOX15,-0.064150455,0.286966334
ALOX15B,0.022323309,0.852353681
ALOX5,-0.100401981,0.383290418
ALOX5AP,-0.047046701,0.675885313
ALOXE3,-0.006056638,0.913115057
ALPI,0.009573232,0.878752497
ALPK1,-0.137480557,0.449653718
ALPK3,-0.035525047,0.622305586
ALPL,-0.047862293,0.488682945
ALPP,0.098690619,0.291713282
ALPPL2,0.062711193,0.621474658
ALS2CL,0.037396276,0.55509508
ALX1,0.112998336,0.094330004
ALX3,0.051283536,0.392344062
ALX4,0.073707046,0.156613393
AMACR,0.024878943,0.4524569
AMBN,-0.080928682,0.234506104
AMBP,0.053140674,0.301898631
AMBRA1,-0.086452684,0.398765076
AMD1,0.12066407,0.23754347
AMDHD2,0.054448017,0.563539031
AMELX,0.016690313,0.795655938
AMELY,-0.017024194,0.808470588
AMFR,-0.013873262,0.943596744
AMH,0.084693587,0.315571587
AMHR2,0.103902897,0.078347022
AMIGO2,-0.126360921,0.209237144
AMIGO3,0.096140186,0.481327414
AMMECR1,-0.113076496,0.500880503
AMN,0.142563993,0.189218646
AMOT,-0.005462391,0.928199038
AMOTL2,-0.026107677,0.671413984
AMPD1,0.029809048,0.733680355
AMPD2,-0.053590082,0.372921939
AMPD3,-0.082495956,0.510427673
AMPH,-0.007102351,0.918921939
AMT,-0.059397664,0.791689234
AMY1A,-0.259677068,0.483972623
AMY1B,-0.259677068,0.483972623
AMY1C,-0.259677068,0.483972623
AMY2A,-0.259677068,0.483972623
AMY2B,-0.259677068,0.483972623
AMZ2,0.040061364,0.624883463
ANAPC1,-0.130350795,0.24954791
ANAPC10,0.243646537,0.062530522
ANAPC13,0.08225342,0.081522752
ANAPC15,0.025504526,0.795219386
ANAPC2,-0.065250562,0.590981132
ANAPC5,-0.151874115,0.008886422
ANG,-0.034533119,0.74626933
ANGEL1,-0.02472015,0.761827599
ANGEL2,-0.012563193,0.858840548
ANGPT1,0.012800227,0.859393267
ANGPT2,0.018864635,0.72290492
ANGPT4,-0.013450017,0.80363226
ANGPTL2,0.025189821,0.684604514
ANGPTL3,-0.053233891,0.491670736
ANGPTL4,0.057355953,0.46645801
ANGPTL7,0.039047643,0.432334443
ANK1,-0.05636652,0.423982242
ANK2,-0.019896875,0.625605623
ANK3,-0.106578083,0.44982094
ANKEF1,-0.007201611,0.939922309
ANKFY1,0.040915116,0.685433962
ANKH,-0.208090607,0.14482205
ANKHD1,-0.104778299,0.358628561
ANKHD1-EIF4EBP3,-0.104778299,0.358628561
ANKLE2,-0.052382431,0.445656678
ANKMY1,-0.025586575,0.556210877
ANKMY2,0.072334704,0.484553459
ANKRA2,-0.004154214,0.976708102
ANKRD1,0.030534315,0.700130966
ANKRD10,-0.174716048,0.299843877
ANKRD10-IT1,-0.117543813,0.291066963
ANKRD11,-0.438874369,0.124096189
ANKRD12,-0.006120106,0.961859415
ANKRD17,-0.136710888,0.250886422
ANKRD2,0.007281548,0.911645579
ANKRD26,0.037689289,0.546978172
ANKRD27,-0.132728542,0.274265631
ANKRD28,0.069475625,0.559250462
ANKRD34C,0.114679205,0.015530892
ANKRD36,-0.117448529,0.591590825
ANKRD36B,-0.307366356,0.453707732
ANKRD36BP2,-0.017871654,0.810785794
ANKRD40,0.048194863,0.472238254
ANKRD46,0.277346262,0.0438202
ANKRD49,-0.047712836,0.8041835
ANKRD53,-0.020978874,0.678902701
ANKRD55,0.222082649,0.108520903
ANKRD6,0.002923222,0.965356271
ANKRD7,0.026380701,0.636035516
ANKS1A,-0.324361584,0.002482427
ANKS1B,0.007681257,0.897590085
ANKZF1,-0.228909417,0.214287088
ANO1,0.036188734,0.611187569
ANO10,-0.001934868,0.98118461
ANO2,0.018096225,0.771649279
ANO3,-0.009073084,0.85873104
ANP32A,-0.007700486,0.922017018
ANP32A-IT1,-0.170591199,0.186492786
ANP32B,0.0230069,0.745763966
ANP32C,-0.075379023,0.314350721
ANP32D,0.005177087,0.91899741
ANP32E,0.194511837,0.053128376
ANPEP,-0.140270505,0.50481761
ANTXR1,0.041414387,0.502210877
ANXA1,-0.01679486,0.898045875
ANXA10,0.187488773,0.01781502
ANXA11,-0.080838464,0.251280059
ANXA13,0.102963639,0.04554495
ANXA2,0.021888079,0.780221236
ANXA2P1,-0.000597633,0.990733259
ANXA2P2,0.018721484,0.862322605
ANXA2P3,0.051639236,0.519580466
ANXA3,0.380101387,0.085800222
ANXA4,0.028424987,0.865045505
ANXA5,0.114448689,0.470744358
ANXA6,-0.050572947,0.59890936
ANXA7,0.06923199,0.466578616
ANXA8,0.072334581,0.539262301
ANXA8L1,0.072334581,0.539262301
ANXA9,0.041750235,0.438383278
AOAH,-0.046029688,0.609961524
AOC1,0.021133743,0.819240104
AOC2,-0.135525639,0.045187569
AOC3,-0.014018149,0.85045727
AOC4P,0.018807308,0.824291528
AOX1,0.07159667,0.126901961
AP001062.7,0.074214876,0.245431003
AP1AR,-0.083305952,0.518949316
AP1B1,-0.016860836,0.810694784
AP1G1,-0.092094853,0.274259711
AP1G2,-0.047968811,0.543536071
AP1M2,0.064532028,0.135990381
AP1S1,-0.055438393,0.617245283
AP1S2,0.103085714,0.353596744
AP2A2,0.013049789,0.805355531
AP2B1,-0.04606885,0.636059933
AP2M1,-0.037725875,0.74518313
AP2S1,-0.056567152,0.491152053
AP3B1,0.052351363,0.445571587
AP3B2,0.026792393,0.546221976
AP3D1,-0.151322347,0.153732889
AP3M2,-0.055531527,0.668345542
AP3S1,0.072052059,0.460950795
AP3S2,0.088015468,0.21009175
AP4E1,0.072881668,0.182850906
AP4M1,0.149579629,0.122211617
AP4S1,0.082092215,0.226779134
AP5M1,0.084455451,0.361144654
AP5S1,0.019141738,0.895588605
AP5Z1,-0.143241514,0.032315205
APAF1,-0.037632148,0.487758787
APBA1,-0.027041148,0.63491158
APBA2,-0.055385844,0.670160562
APBA3,0.005115083,0.961392527
APBB1,-0.022436879,0.843159452
APBB1IP,0.010376743,0.947680355
APBB2,0.066393482,0.021495376
APBB3,-0.163114485,0.276676286
APC,-0.040594903,0.521459859
APC2,0.008324275,0.897310396
APCS,0.085739321,0.200791713
APEH,-0.079620302,0.42926896
APEX1,-0.015184499,0.893082501
APEX2,-0.039146112,0.713504994
APH1A,0.032536977,0.749399926
APH1B,0.072046357,0.548054754
API5,0.112223812,0.039812801
APIP,0.136010587,0.285130596
APITD1,0.191910028,0.060535701
APITD1-CORT,0.191910028,0.060535701
APLNR,-0.026276791,0.73108694
APLP1,-0.092251695,0.151475398
APLP2,-0.02797079,0.811024787
APMAP,-0.184916086,0.064864225
APOA1,-0.011430521,0.813174991
APOA2,0.007090173,0.887143914
APOA4,-0.019244669,0.819764706
APOB,-0.093448865,0.074216796
APOBEC1,0.014864001,0.837507214
APOBEC2,-0.002083935,0.973393267
APOBEC3A,0.177423469,0.21627081
APOBEC3A_B,0.177423469,0.21627081
APOBEC3B,0.217222711,0.277473918
APOBEC3C,-0.160928447,0.260582316
APOBEC3F,-0.162198058,0.593288938
APOBEC3G,-0.202694984,0.152169441
APOBR,-0.19690156,0.102103589
APOC1,0.024907853,0.742768036
APOC2,0.070538401,0.34936367
APOC3,0.077104289,0.13945024
APOC4,0.070538401,0.34936367
APOC4-APOC2,0.070538401,0.34936367
APOD,0.122213603,0.072411395
APOE,0.047756572,0.301237144
APOF,0.018459581,0.754845727
APOH,0.106348333,0.063009989
APOL1,-0.012348443,0.908799112
APOL2,-0.071970274,0.436080651
APOL3,-0.036356531,0.671389567
APOL5,0.044321866,0.498213097
APOL6,-0.115726928,0.210827969
APOLD1,0.006466193,0.197603034
APOM,0.172573093,0.137246763
APOO,0.151771129,0.263053644
APOOL,-0.085379478,0.208936737
APP,-0.081505724,0.07981502
APPBP2,-0.003160358,0.962259711
APPL1,-0.154464487,0.261398446
APPL2,-0.080505496,0.582712542
APRT,-0.071249086,0.459706252
APTX,0.016374257,0.875279319
AQP1,0.126232789,0.019553829
AQP2,0.058432348,0.384492786
AQP3,0.112675698,0.203648539
AQP4,-0.009246511,0.77909064
AQP5,0.092795264,0.386096189
AQP6,0.043498753,0.218332223
AQP7,0.084668245,0.240353681
AQP8,0.070206587,0.415118757
AQP9,0.337413028,0.242218276
AQR,0.020253223,0.701614502
AR,0.034890423,0.437243063
ARAF,-0.058665537,0.385866815
ARAP1,-0.249723911,0.007305216
ARAP2,-0.065380056,0.633661857
ARAP3,-0.266188076,0.001448761
ARC,-0.024599127,0.741444321
ARCN1,0.007331659,0.952657048
AREG,0.546767659,0.014757677
AREL1,-0.311089549,0.010520163
ARF1,-0.006422466,0.968147244
ARF1P1,0.074699679,0.263487976
ARF3,-0.017188392,0.826742138
ARF4,0.039528166,0.830341842
ARF5,-0.123389651,0.238242693
ARF6,-0.076139944,0.336492786
ARFGAP1,-0.03278858,0.80900259
ARFGAP2,0.018154165,0.747889752
ARFGAP3,0.127439265,0.140862005
ARFGEF1,0.040734505,0.724691084
ARFGEF2,0.045255344,0.411587125
ARFIP1,0.100956879,0.28899593
ARFIP2,-0.132182112,0.213573807
ARFRP1,0.019266031,0.833505734
ARG1,0.10582193,0.053491676
ARG2,0.040153824,0.70272734
ARGLU1,-0.135552719,0.546711062
ARHGAP1,0.007661301,0.901657418
ARHGAP10,0.137598682,0.04045579
ARHGAP11A,0.087986195,0.023734369
ARHGAP12,-0.120506377,0.376677765
ARHGAP15,0.223681463,0.02073104
ARHGAP17,-0.304607443,0.001315575
ARHGAP19,-0.124704777,0.113655938
ARHGAP22,-0.14818964,0.147751387
ARHGAP24,0.070662146,0.288945616
ARHGAP25,-0.227242984,0.034609693
ARHGAP26,-0.049018061,0.530435072
ARHGAP28,0.032428551,0.420484647
ARHGAP29,-0.000973378,0.99336663
ARHGAP32,-0.21805059,0.101203848
ARHGAP33,0.088970054,0.211978542
ARHGAP35,-0.034937106,0.634139105
ARHGAP4,-0.137903134,0.074560118
ARHGAP44,0.078747595,0.134149464
ARHGAP5,0.200901801,0.092691824
ARHGAP6,-0.092383705,0.448405475
ARHGAP8,0.093738877,0.031477617
ARHGDIA,0.025466757,0.738432112
ARHGDIB,-0.071696741,0.197043285
ARHGDIG,0.085027042,0.294334443
ARHGEF1,-0.203400155,0.124590455
ARHGEF10,0.053999068,0.474368479
ARHGEF10L,-0.056690604,0.382924158
ARHGEF11,-0.270346786,0.012277469
ARHGEF12,-0.036321468,0.408403996
ARHGEF15,-0.019201216,0.772162042
