Code,foldchange,samp.olive
ACADM,-0.061851796,0.651489456
ACADS,0.007633775,0.944431373
ACADSB,-0.059351649,0.50591343
ACADVL,-0.12073931,0.293505734
ACAN,0.042878186,0.415613762
ACAP1,-0.076073846,0.387357011
ACAP2,-0.049958008,0.577293378
ACAT1,0.016108026,0.842230855
ACAT2,0.063180033,0.526535701
ACBD3,-0.189376237,0.259550129
ACBD4,-0.022998217,0.760263411
ACD,0.004071934,0.963931188
ACE,0.022049349,0.696971513
ACE2,0.0450155,0.392665187
ACHE,0.068211472,0.213627821
ACIN1,-0.063417661,0.605291158
ACKR1,0.081040558,0.228684425
ACKR2,0.034598182,0.638649649
ACKR3,0.264675748,0.078353681
ACKR4,0.09122193,0.224122826
ACLY,-0.020895457,0.851960044
ACN9,-0.001871177,0.983661117
ACO1,0.174909068,0.085850536
ACO2,0.080929633,0.195968923
ACOT1,-0.018876236,0.868128746
ACOT11,0.073736104,0.173869774
ACOT13,0.022710492,0.82136589
ACOT2,-0.018876236,0.868128746
ACOT7,0.003607523,0.966934517
ACOT8,-0.130599847,0.103709952
ACOT9,-0.014278364,0.879518313
ACOX1,0.001183038,0.983985942
ACOX2,0.138040503,0.152704403
ACOX3,-0.042743605,0.571511654
ACOXL,0.069192997,0.212163522
ACP1,-0.189394748,0.049254162
ACP2,-0.011467218,0.887902331
ACP5,0.03189244,0.800513504
ACP6,-0.040611888,0.635282279
ACPP,0.278169563,0.030592675
ACR,0.122535877,0.074876804
ACRV1,0.049354736,0.373461339
ACSBG1,-0.020819435,0.80372623
ACSBG2,0.050887715,0.543775805
ACSF2,0.142048879,0.120048835
ACSL1,0.038615057,0.747382168
ACSL3,-0.072516901,0.482389937
ACSL4,-0.021619467,0.897840178
ACSL5,-0.15577811,0.063843877
ACSL6,-0.085222539,0.230067333
ACSM1,0.067709131,0.292293008
ACSM2A,0.023955194,0.756415834
ACSM2B,0.023955194,0.756415834
ACSM3,-0.075074018,0.309812061
ACSM5,-0.003224883,0.950935997
ACSS3,-0.015666584,0.87718609
ACTA1,-0.023082285,0.749237884
ACTA2,0.118553552,0.257756567
ACTB,-0.087737208,0.499314095
ACTBP9,-0.106764949,0.385493156
ACTC1,0.001860423,0.98145838
ACTG1,0.005938143,0.910266371
ACTG1P4,-0.157429467,0.575357751
ACTG2,0.044820075,0.569190529
ACTL6A,-0.033436531,0.723212727
ACTL6B,0.009121261,0.891439142
ACTL7A,-0.109528393,0.259890492
ACTL7B,-0.014945299,0.84018276
ACTL8,0.14428514,0.045244543
ACTN1,-0.066623176,0.562603034
ACTN2,0.014580102,0.802574177
ACTN3,-0.015179601,0.863355531
ACTN4,0.043706327,0.653570847
ACTR10,-0.097561371,0.235717351
ACTR1A,0.004840886,0.950920459
ACTR1B,-0.028250506,0.746073252
ACTR2,-0.235979009,0.093824639
ACTR3,0.008899915,0.901806141
ACTR3B,0.028590195,0.659969663
ACTR3P2,-0.033924873,0.532625971
ACTR5,-0.088725827,0.377115057
ACTR6,-0.04138406,0.770409915
ACTR8,0.001113854,0.984221976
ACVR1,0.061931288,0.356207917
ACVR1B,0.023605335,0.625120237
ACVR2A,-0.106867425,0.387536811
ACVR2B,-0.000556624,0.996308546
ACVR2B-AS1,0.08046786,0.286807991
ACVRL1,-0.014761768,0.893654458
ACY1,-0.072615791,0.57700259
ACYP1,0.116078481,0.256374399
ACYP2,-0.002106166,0.981474658
ADA,0.035596473,0.755567148
ADAM10,-0.160122032,0.168685905
ADAM11,0.100551864,0.181705512
ADAM12,0.07027679,0.244017758
ADAM15,0.011458015,0.902139845
ADAM17,-0.059581138,0.548438772
ADAM18,-0.0155842,0.812434332
ADAM19,-0.019769683,0.800781354
ADAM2,0.146661645,0.050949316
ADAM20,0.048377297,0.33154273
ADAM21,-0.023439892,0.713072882
ADAM22,0.005334412,0.91799704
ADAM23,-0.122864197,0.129021088
ADAM28,-0.079165157,0.476867925
ADAM29,0.090097568,0.17363226
ADAM30,-0.01169068,0.865238624
ADAM3A,0.07146606,0.233243803
ADAM3B,0.017612167,0.794445431
ADAM5,0.038890657,0.524175361
ADAM7,0.001105733,0.983347392
ADAM8,0.019102698,0.784933777
ADAM9,0.01278963,0.936608213
ADAMDEC1,-0.066732047,0.447084721
ADAMTS1,0.08252737,0.499520533
ADAMTS12,0.07284115,0.449154273
ADAMTS13,0.026057785,0.680785054
ADAMTS2,0.021312023,0.717745468
ADAMTS20,0.03092579,0.626076952
ADAMTS3,0.1608733,0.142772475
ADAMTS5,0.116043043,0.141785424
ADAMTS6,0.069590679,0.371263041
ADAMTS7,0.114566425,0.099502035
ADAMTS8,0.054417451,0.325675176
ADAMTS9,0.069549306,0.356853866
ADAMTSL2,0.030030556,0.692969293
ADAMTSL3,-0.038611079,0.551791343
ADAMTSL4,0.041620744,0.501156493
ADAP1,0.03165286,0.788833888
ADAP2,0.144976659,0.075109878
ADAR,-0.131874264,0.197283019
ADARB1,-0.017565201,0.81590677
ADARB2,0.038156236,0.582301147
ADAT1,-0.220692595,0.06218054
ADCK2,0.033564256,0.690375879
ADCK3,0.026831907,0.774734739
ADCK4,0.096228918,0.175919349
ADCY1,0.018835667,0.736867185
ADCY10,0.012256177,0.758918979
ADCY2,-0.009502736,0.85463411
ADCY3,0.020251752,0.77099889
ADCY6,0.06188137,0.482128006
ADCY7,0.025119077,0.786716981
ADCY8,-0.018068494,0.826761376
ADCY9,0.040884445,0.542676286
ADCYAP1,0.092283708,0.149778764
ADCYAP1R1,0.047844319,0.439350351
ADD1,-0.139414825,0.058903441
ADD2,0.081299854,0.256326304
ADD3,-0.203458199,0.11182168
ADD3-AS1,0.034173462,0.576650388
ADGB,-0.007036712,0.889550869
ADH1A,0.04571372,0.50272808
ADH1B,0.027018633,0.58790529
ADH1C,-0.049945832,0.38063559
ADH5,-0.055268683,0.359071402
ADH6,0.066757939,0.206017018
ADH7,0.101008289,0.081963744
ADI1,0.057877908,0.492975213
ADIPOQ,0.010234764,0.878169441
ADIPOR1,0.074083421,0.506055494
ADIPOR2,0.040773132,0.676529042
ADIRF,0.007725762,0.877034406
ADK,-0.025138531,0.827484277
ADM,0.801315251,0.003190529
ADM2,-0.100677204,0.236055494
ADNP,-0.034515054,0.683394747
ADNP2,-0.185264173,0.145591565
ADO,0.15307828,0.104307806
ADORA1,0.038530294,0.540925638
ADORA2A,-0.024871737,0.830198298
ADORA2B,0.088078809,0.452580096
ADORA3,-0.00612789,0.949500555
ADPGK,0.075643979,0.351973363
ADPRH,0.200520645,0.029550869
ADPRM,-0.077353994,0.627840917
ADRA1A,0.030190997,0.450246393
ADRA1B,0.064860424,0.268196078
ADRA1D,-0.022027399,0.744666667
ADRA2A,0.03515406,0.767141694
ADRA2B,0.076561644,0.451097299
ADRA2C,0.029609218,0.728277469
ADRB1,-0.04746321,0.439124676
ADRB2,0.318147859,0.018427673
ADRB3,-0.012177268,0.854019978
ADRBK1,-0.028819764,0.698933037
ADRBK2,-0.028844243,0.690447651
ADRM1,0.009024225,0.910641509
ADSL,-0.102488596,0.240163522
ADSS,0.114045686,0.369655198
ADTRP,-0.095129883,0.398539401
AEBP1,-0.039761506,0.659106178
AEN,0.038576662,0.626245653
AES,-0.096353339,0.20445505
AF007147,-0.271175447,0.349036626
AF070581,0.040506342,0.457745468
AF090939,0.054616225,0.424168701
AF198444,0.055380026,0.361994081
AFAP1,-0.135423352,0.080014798
AFF1,-0.033155252,0.607521273
AFF2,0.095115426,0.182497965
AFF3,0.036287591,0.54499593
AFF4,0.069422539,0.391532371
AFG3L2,0.010012504,0.910785794
AFM,0.069409168,0.290986312
AFP,-0.055279184,0.430840548
AFTPH,-0.003561774,0.958944136
AGA,-0.072549421,0.456674806
AGAP1,-0.069369494,0.678813171
AGAP10,-0.008612513,0.958844247
AGAP11,-0.067383397,0.714320755
AGAP2,0.051154037,0.489758047
AGAP4,-0.067383397,0.714320755
AGAP5,-0.008612513,0.958844247
AGAP6,-0.12615428,0.469797262
AGAP7P,-0.12615428,0.469797262
AGAP9,-0.008612513,0.958844247
AGBL2,0.099181157,0.242100629
AGBL3,0.047717026,0.428532001
AGBL5,-0.002859599,0.973883093
AGER,0.011025688,0.901784684
AGFG1,0.017017198,0.827922309
AGFG2,0.015000309,0.794304107
AGGF1,-0.131994939,0.099465039
AGK,-0.094691244,0.215085461
AGL,-0.169782971,0.171749168
AGMAT,0.024403439,0.719519053
AGO1,-0.003956266,0.970304107
AGO2,-0.070347011,0.528936737
AGO3,-0.094675574,0.580403996
AGO4,0.023638961,0.841494636
AGPAT1,0.028861639,0.783951165
AGPAT2,-0.067283014,0.333098039
AGPAT3,0.092344124,0.296054754
AGPAT4,-0.036268282,0.760383278
AGPAT5,0.003712837,0.965097299
AGPS,-0.022546986,0.863201628
AGR2,0.016648498,0.852110248
AGRN,0.046557045,0.428342582
AGRP,0.043599846,0.579576027
AGT,0.147752794,0.017556789
AGTPBP1,-0.042832213,0.529888272
AGTR1,0.011383454,0.7861798
AGTR2,0.043343935,0.329469478
AGXT,0.009252157,0.880290788
AHCTF1,-0.063626606,0.624903441
AHCY,0.099865354,0.554303367
AHCYL1,-0.042866273,0.552318165
AHCYL2,0.018765512,0.773809841
AHDC1,-0.105164832,0.206210137
AHI1,0.038057327,0.448863485
AHNAK,0.020717348,0.821243063
AHNAK2,-0.02195861,0.726379578
AHR,0.041512617,0.664881243
AHSA1,0.076694241,0.377514613
AHSA2,-0.401599643,0.157830559
AHSG,-0.000936752,0.986694044
AHSP,0.177292038,0.087047725
AICDA,0.097539483,0.121370329
AIDA,-0.068095848,0.557963004
AIF1,0.231006497,0.002421754
AIFM1,-0.137295938,0.209572327
AIM1,-0.017689003,0.868955235
AIM1L,0.036974709,0.560514243
AIM2,-0.000918699,0.995070662
AIMP1,-0.099238441,0.42199926
AIMP2,0.104217778,0.127116537
AIP,-0.073402008,0.358711062
AIPL1,0.001659528,0.981267481
AIRE,-0.038104664,0.703518313
AJ011981,-0.042165233,0.543078061
AJAP1,0.059151373,0.301476138
AK021537,0.061665967,0.527149834
AK021933,0.133511959,0.090460229
AK022030,-0.095043098,0.26545468
AK055967,0.149163984,0.070759896
AK055981,-0.20427061,0.155836478
AK096803,0.060903899,0.430305586
AK1,-0.207256749,0.188916759
AK125860,0.00773219,0.927339253
AK2,-0.032699037,0.591065483
AK291611,-0.029320428,0.775308916
AK4,0.056109204,0.380562338
AK5,0.035479566,0.781254162
AK6,-0.010226117,0.86290603
AKAP1,-0.087261719,0.356267851
AKAP10,0.006722439,0.949388087
AKAP11,-0.036431778,0.541828339
AKAP12,0.101143436,0.301582686
AKAP13,-0.276285748,0.155700333
AKAP17A,-0.088318914,0.574694784
AKAP2,-0.103992295,0.432780614
AKAP3,0.027445023,0.759023307
AKAP4,-0.000225308,0.997702553
AKAP5,0.061993631,0.480129486
AKAP6,0.088619737,0.23790899
AKAP7,0.002042518,0.98182094
AKAP8,-0.077044965,0.366901961
AKAP8L,-0.129372094,0.206592675
AKAP9,-0.007918604,0.926059933
AKIP1,-0.045544493,0.693596744
AKIRIN1,-0.383628702,0.045221606
AKR1A1,0.078430852,0.382514243
AKR1B1,-0.068838428,0.450018498
AKR1B10,-0.036474191,0.578712542
AKR1C1,0.09737225,0.109807621
AKR1C2,0.06990596,0.436928598
AKR1C3,-0.089329052,0.45699667
AKR1C4,0.040353897,0.502901961
AKR1D1,-0.05439907,0.421863855
AKR7A2,-0.008598625,0.935524972
AKR7A3,0.001917666,0.983753607
AKT1,-0.007307229,0.93099593
AKT2,0.011841765,0.861231225
AKT3,-0.125143494,0.177897891
AKTIP,-0.100832168,0.232042175
AL109706,-0.09071891,0.236115427
AL590762.11,0.07449319,0.415613762
AL928768.3,-0.184285538,0.120588975
ALAD,0.022765379,0.770151683
ALAS1,0.137633271,0.284853866
ALAS2,0.242982203,0.056656308
ALB,0.087427516,0.047212727
ALCAM,-0.094109033,0.437551609
ALDH18A1,-0.174549976,0.075491676
ALDH1A1,0.126589462,0.437649279
ALDH1A2,0.032717754,0.644869034
ALDH1A3,0.074826203,0.322511284
ALDH1B1,0.097343223,0.087025527
ALDH1L1,0.068835895,0.292508324
ALDH2,0.055880337,0.516859046
ALDH3A1,0.075664179,0.405642619
ALDH3A2,-0.037754428,0.576434332
ALDH3B1,0.092983333,0.200884943
ALDH3B2,0.018228933,0.787623381
ALDH4A1,0.04067866,0.496421754
ALDH5A1,-0.016661906,0.847053644
ALDH6A1,-0.083837918,0.13018128
ALDH7A1,0.031674567,0.507190529
ALDH8A1,-0.00894596,0.888970033
ALDH9A1,0.021531251,0.738904181
ALDOA,-0.032759591,0.644188679
ALDOAP2,0.096579838,0.15108916
ALDOB,0.043708639,0.272921199
ALDOC,-0.023137098,0.807402146
ALG11,-0.088698137,0.473219016
ALG12,0.042883397,0.530805031
ALG13,-0.053424508,0.48208805
ALG3,0.020181394,0.816144284
ALG5,0.044785796,0.695374029
ALG6,0.056546667,0.466850906
ALG8,-0.000970497,0.991891232
ALG9,-0.104648048,0.353842397
ALK,0.148812599,0.036978172
ALKBH1,0.187701014,0.067252682
ALKBH4,0.032508204,0.691689974
ALLC,0.052876869,0.435602664
ALMS1,-0.096018056,0.403601184
ALOX12,0.011599046,0.941934147
ALOX12B,-0.02752953,0.727221606
ALOX12P2,0.070651936,0.357951165
ALOX15,0.084389266,0.225259341
ALOX15B,-0.020985395,0.87090788
ALOX5,0.032751782,0.680921939
ALOX5AP,0.129667299,0.090595634
ALOXE3,0.041500715,0.564385498
ALPI,0.005193017,0.939493896
ALPK1,0.21602361,0.204835368
ALPK3,0.062773963,0.295564928
ALPL,0.018901118,0.788485387
ALPP,0.055073109,0.415927858
ALPPL2,0.073950963,0.321342952
ALS2CL,-0.118687285,0.24399556
ALX1,-0.02920958,0.592384018
ALX3,-0.017267562,0.82590603
ALX4,0.115680125,0.11336737
AMACR,0.01010922,0.793928598
AMBN,0.124965074,0.097669996
AMBP,0.014141394,0.785069922
AMBRA1,0.045742191,0.447989641
AMD1,0.114445843,0.269616722
AMDHD2,-0.139538722,0.308127266
AMELX,-0.014937269,0.853399926
AMELY,0.085339083,0.205406585
AMFR,-0.076147777,0.544618572
AMH,0.042124552,0.609331114
AMHR2,0.001439395,0.987485017
AMIGO2,-0.057650972,0.420685165
AMIGO3,0.039496035,0.726353681
AMMECR1,-0.17648385,0.402686644
AMN,0.043192345,0.52927488
AMOT,0.078245761,0.253123196
AMOTL2,0.002091034,0.974327784
AMPD1,0.045949399,0.465200148
AMPD2,0.066932234,0.303407325
AMPD3,0.04432602,0.55600444
AMPH,0.078843299,0.322314465
AMT,-0.179466399,0.314754717
AMY1A,-0.157429467,0.575357751
AMY1B,-0.157429467,0.575357751
AMY1C,-0.157429467,0.575357751
AMY2A,-0.157429467,0.575357751
AMY2B,-0.157429467,0.575357751
AMZ2,-0.09721858,0.210378838
ANAPC1,-0.110538517,0.294825749
ANAPC10,0.054465343,0.753163892
ANAPC13,0.061167113,0.384776175
ANAPC15,0.070551688,0.502395117
ANAPC2,-0.222373845,0.04336589
ANAPC5,-0.124160375,0.04245209
ANG,0.144977886,0.220644469
ANGEL1,-0.009657745,0.887589345
ANGEL2,-0.067385258,0.527528672
ANGPT1,-0.036693069,0.715676656
ANGPT2,-0.03925466,0.464787273
ANGPT4,0.001670198,0.982218276
ANGPTL2,0.079354815,0.217208287
ANGPTL3,0.056456554,0.408110988
ANGPTL4,-0.018574455,0.818586016
ANGPTL7,0.020568999,0.759738069
ANK1,0.014105159,0.85136441
ANK2,0.073416469,0.202943396
ANK3,-0.164604919,0.241081761
ANKEF1,-0.088690881,0.199344432
ANKFY1,-0.088176264,0.332213836
ANKH,-0.219803715,0.094692564
ANKHD1,-0.008594705,0.302118017
ANKHD1-EIF4EBP3,-0.008594705,0.302118017
ANKLE2,-0.045303731,0.470791713
ANKMY1,-0.046678148,0.496356641
ANKMY2,-0.093081128,0.325490936
ANKRA2,0.03108792,0.723297077
ANKRD1,-0.051687056,0.493874954
ANKRD10,-0.0469125,0.584204218
ANKRD10-IT1,0.05050031,0.733651498
ANKRD11,-0.406986797,0.16981502
ANKRD12,-0.21105839,0.120159822
ANKRD17,-0.175158074,0.122308546
ANKRD2,0.002414532,0.97409027
ANKRD26,-0.051093236,0.425623381
ANKRD27,0.063760293,0.592384018
ANKRD28,-0.065650695,0.577195708
ANKRD34C,0.190793999,0.130066593
ANKRD36,-0.427596959,0.024798372
ANKRD36B,-0.521156646,0.243036626
ANKRD36BP2,0.045780765,0.385140215
ANKRD40,0.088987403,0.265221606
ANKRD46,-0.001170227,0.991598224
ANKRD49,0.000451474,0.996845727
ANKRD53,-0.006635446,0.900079171
ANKRD55,-0.128411003,0.352139105
ANKRD6,-0.047967955,0.406211617
ANKRD7,0.08741497,0.161738069
ANKS1A,0.087666156,0.427416944
ANKS1B,0.019878957,0.743285239
ANKZF1,-0.161072177,0.307407325
ANO1,-0.018169632,0.750022937
ANO10,0.023623291,0.749555309
ANO2,0.054037413,0.423279319
ANO3,0.040586613,0.478601554
ANP32A,-0.141263041,0.053479837
ANP32A-IT1,0.028182682,0.752735479
ANP32B,-0.039689314,0.460305586
ANP32C,-0.025953271,0.714219016
ANP32D,-0.018272502,0.763645579
ANP32E,-0.090794366,0.328251572
ANPEP,0.299698367,0.099230485
ANTXR1,-0.034627888,0.629590825
ANXA1,-0.004472476,0.950712542
ANXA10,0.099774694,0.051055124
ANXA11,-0.037767193,0.569439882
ANXA13,0.039611501,0.548675546
ANXA2,0.074573646,0.333412505
ANXA2P1,-0.037711957,0.658967814
ANXA2P2,0.0796894,0.111426563
ANXA2P3,0.145260162,0.049019608
ANXA3,0.102622971,0.531496115
ANXA4,0.017534713,0.80400296
ANXA5,0.065667155,0.360722161
ANXA6,-0.262264713,0.013516093
ANXA7,-0.073544841,0.328791713
ANXA8,0.163780865,0.067520533
ANXA8L1,0.163780865,0.067520533
ANXA9,0.066382676,0.316202738
AOAH,-0.052068531,0.603653718
AOC1,0.041463028,0.534476508
AOC2,-0.078769781,0.207721051
AOC3,0.067124359,0.248062153
AOC4P,0.110676921,0.113023307
AOX1,0.078317332,0.309737329
AP001062.7,0.071379063,0.225706992
AP1AR,-0.109243051,0.410034776
AP1B1,-0.036179702,0.585278579
AP1G1,0.068785534,0.554564558
AP1G2,0.004519855,0.959777284
AP1M2,0.084127402,0.233982982
AP1S1,-0.160666485,0.102006659
AP1S2,-0.046067118,0.66381428
AP2A2,-0.035392864,0.550603034
AP2B1,-0.149633403,0.048654828
AP2M1,-0.095729067,0.389756567
AP2S1,0.095293764,0.251917869
AP3B1,-0.049462633,0.524706622
AP3B2,0.007835647,0.928073252
AP3D1,-0.35719589,0.011467999
AP3M2,-0.232290551,0.122528302
AP3S1,-0.057134512,0.340849427
AP3S2,0.00426234,0.960233074
AP4E1,-0.019658038,0.705697373
AP4M1,-0.091610705,0.359148354
AP4S1,0.008756359,0.917434702
AP5M1,0.065783141,0.570142804
AP5S1,0.12644945,0.302525342
AP5Z1,0.064950819,0.366015538
APAF1,0.084800368,0.215681095
APBA1,0.085507463,0.152722161
APBA2,-0.06504131,0.389229745
APBA3,-0.023376786,0.762807991
APBB1,-0.055425777,0.522250832
APBB1IP,-0.110921086,0.327416204
APBB2,0.065179823,0.193977063
APBB3,-0.011074158,0.914926378
APC,0.012377656,0.894957455
APC2,0.089097591,0.225791343
APCS,-0.032971735,0.626788013
APEH,-0.02848969,0.795914909
APEX1,-0.013660227,0.857155753
APEX2,0.06412071,0.511050684
APH1A,-0.151679932,0.13945394
APH1B,0.061695907,0.512410655
API5,-0.024092066,0.602147984
APIP,0.100805913,0.2496404
APITD1,-0.082409141,0.437897891
APITD1-CORT,-0.082409141,0.437897891
APLNR,0.075776645,0.358055494
APLP1,0.150520465,0.136148724
APLP2,0.039799697,0.689245283
APMAP,-0.033251636,0.653242323
APOA1,-0.015856662,0.873706992
APOA2,0.057448933,0.471823899
APOA4,0.077438153,0.308115427
APOB,0.10041018,0.256608953
APOBEC1,0.058925501,0.435315575
APOBEC2,0.086986599,0.18727266
APOBEC3A,0.290809009,0.017430263
APOBEC3A_B,0.290809009,0.017430263
APOBEC3B,-0.183217082,0.099192749
APOBEC3C,-0.193879364,0.202666667
APOBEC3F,-0.136857579,0.028506104
APOBEC3G,-0.196142912,0.294169071
APOBR,0.037534042,0.750207177
APOC1,0.150139949,0.036293748
APOC2,0.024000024,0.74591047
APOC3,0.035498693,0.576159822
APOC4,0.024000024,0.74591047
APOC4-APOC2,0.024000024,0.74591047
APOD,0.028962021,0.801985942
APOE,0.028304322,0.62790529
APOF,0.030229762,0.597835738
APOH,-0.048786341,0.558785794
APOL1,0.072430365,0.402831669
APOL2,0.134090578,0.035209767
APOL3,0.130089424,0.134025157
APOL5,0.11422601,0.145771365
APOL6,0.038571825,0.693302257
APOLD1,0.010078083,0.590329634
APOM,0.046322854,0.683111358
APOO,0.098281231,0.22736441
APOOL,0.001657874,0.985894192
APP,0.099130587,0.180027377
APPBP2,-0.01848644,0.765237884
APPL1,-0.026351491,0.807343692
APPL2,-0.048822084,0.649834998
APRT,-0.00013302,0.999159452
APTX,-0.013900804,0.864509804
AQP1,-0.020161388,0.738257492
AQP2,0.038476918,0.676241953
AQP3,-0.073298293,0.407487976
AQP4,-0.014183715,0.774845727
AQP5,-0.005893898,0.94408805
AQP6,0.004303736,0.942019978
AQP7,0.186745498,0.07000296
AQP8,0.026608527,0.705334813
AQP9,0.252638699,0.151198668
AQR,-0.032027262,0.759242323
AR,0.009242339,0.886656308
ARAF,0.00049712,0.995672956
ARAP1,0.008089616,0.936859046
ARAP2,-0.054268249,0.645127636
ARAP3,0.036125439,0.739278579
ARC,0.001237824,0.98936441
ARCN1,-0.001527594,0.984025157
AREG,0.186543097,0.159831299
AREL1,-0.108982079,0.418442471
ARF1,-0.34062596,0.014539401
ARF1P1,0.142749084,0.069577506
ARF3,0.063208255,0.512606733
ARF4,-0.015641179,0.877189789
ARF5,-0.024232455,0.804191639
ARF6,0.043464558,0.701152053
ARFGAP1,-0.041479261,0.618128746
ARFGAP2,-0.041477229,0.498464669
ARFGAP3,-0.00677653,0.945481317
ARFGEF1,-0.289965106,0.011593785
ARFGEF2,-0.001969539,0.972399556
ARFIP1,0.062980728,0.630629671
ARFIP2,-0.019899596,0.871843877
ARFRP1,-0.047599009,0.635986681
ARG1,-0.012195065,0.877146134
ARG2,-0.120095112,0.131775805
ARGLU1,-0.098278379,0.517248243
ARHGAP1,0.019690719,0.723993341
ARHGAP10,-0.131705375,0.116471328
ARHGAP11A,0.057598702,0.367189789
ARHGAP12,-0.166599036,0.113604883
ARHGAP15,-0.128282254,0.276651128
ARHGAP17,0.056858995,0.55926896
ARHGAP19,-0.041911326,0.652044395
ARHGAP22,0.083163524,0.264290048
ARHGAP24,0.005479898,0.950393637
ARHGAP25,-0.04134773,0.683648539
ARHGAP26,-0.041599529,0.563320755
ARHGAP28,-0.04588516,0.51645357
ARHGAP29,-0.182552373,0.033539031
ARHGAP32,-0.008359771,0.923492416
ARHGAP33,0.131169197,0.052709582
ARHGAP35,-0.049575857,0.465233444
ARHGAP4,-0.144125941,0.220267111
ARHGAP44,0.057018074,0.323603404
ARHGAP5,-0.151564645,0.190896041
ARHGAP6,0.067891238,0.537148354
ARHGAP8,-0.015565099,0.815084721
ARHGDIA,-0.076287997,0.271348132
ARHGDIB,-0.003342455,0.952291528
ARHGDIG,0.050702059,0.586165742
ARHGEF1,0.013480622,0.885811321
ARHGEF10,-0.017961783,0.771834258
ARHGEF10L,0.013779902,0.876526822
ARHGEF11,-0.073798017,0.346779134
ARHGEF12,0.041648698,0.52391343
ARHGEF15,0.064826614,0.394397336
